content,used,date_used
"Today's routine is not a boring duty, but a stable foundation from which you can create.",FALSE,
The mistake you fear today is just data for your future decisions.,FALSE,
"The problem before you is not a wall, but a step. Where does it lead?",FALSE,
"Fatigue is not a sign of failure, but a signal that your body needs care.",FALSE,
What you perceive as your weakness might just be a skill waiting to be trained.,FALSE,
"The criticism you received is not an attack, but information. What part of it can you use?",FALSE,
"Waiting in line is not lost time, but an unexpected pause to breathe.",FALSE,
"Conflict is not a threat, but an opportunity to clarify boundaries and needs.",FALSE,
"The feeling of 'not having enough time' is not a fact, but an emotion. What are the real priorities?",FALSE,
"A monotonous task is not a punishment, but a chance for the mind to rest and wander freely.",FALSE,
What seems like a failure is just one of many experiments on the path to success.,FALSE,
"The feeling of uncertainty is not a danger, but proof that you are leaving your comfort zone and growing.",FALSE,
'I have to do it' is an illusion. Try saying: 'I choose to do it.' Feel the difference?,FALSE,
"A day full of duties is not a burden, but a structure. What meaning will you give it today?",FALSE,
"A change of plans is not a complication, but a test of your ability to adapt.",FALSE,
"The feeling of loneliness is not the end of the world, but an invitation to get to know yourself better.",FALSE,
"Not knowing something is not a shame, but a starting point for discovery.",FALSE,
"Rejection is not proof of your inadequacy, but merely information about a mismatch.",FALSE,
"Fear is not your enemy, but an advisor that points out what you care about.",FALSE,
"Lack of motivation is not laziness, but a signal that your 'why' isn't strong enough.",FALSE,
"An obstacle on the path is not there to stop you, but to make you discover how badly you want it.",FALSE,
What annoys you about others today is often just a reflection of something unresolved within yourself.,FALSE,
"Forgetting something is not a failure of memory, but a filter that protects your mind from overload.",FALSE,
"Feeling 'stuck' doesn't mean you're not moving forward, but that you need a new perspective on the map.",FALSE,
"Boredom is not emptiness, but a space where the best ideas can be born.",FALSE,
Stress is not just negative. Short-term stress (eustress) is the energy that drives you to perform.,FALSE,
"Envy is not just a negative emotion, but also a compass that shows you what you desire.",FALSE,
"Procrastination is not laziness, but often a fear of failure or success. What are you afraid of?",FALSE,
"The fact that someone doesn't understand you doesn't mean you are strange, but that you have a unique perspective.",FALSE,
"Limitations (time, financial) are not a cage, but a framework that fosters creativity.",FALSE,
'I don't have time' is a myth. Everyone has 24 hours. It's just a matter of priorities.,FALSE,
"Physical pain is not just suffering, but also a teacher that teaches you to listen to your body.",FALSE,
"Longing for the past is not a sign that the present is bad, but a reminder of what you value.",FALSE,
"The mess around you is not just chaos, but also a reflection of the state of your mind. What is it telling you?",FALSE,
"The feeling of guilt is not a punishment, but a moral compass that alerts you to a deviation from your values.",FALSE,
"The work you do is not just a source of income, but also a way you contribute to the world.",FALSE,
"An argument with a loved one is not the end of the relationship, but a stress test that can reveal its weaknesses and strengthen it.",FALSE,
"Disappointment is not proof that you made a wrong decision, but the result of unrealistic expectations.",FALSE,
"The feeling that you are 'different' is not a handicap, but your unique competitive advantage.",FALSE,
"Just because something takes a long time doesn't mean you're doing it wrong, but that you are building something solid.",FALSE,
"Silence is not empty, it's full of answers. You just need to listen.",FALSE,
"Bad weather is not an obstacle, but an opportunity to enjoy the comfort of home or to dance in the rain.",FALSE,
"Your past is not an anchor that holds you in place, but a story from which you can learn.",FALSE,
"The end of something is not just a loss, but also a space for a new beginning.",FALSE,
"The feeling that you are 'too much' for someone is not your fault, but information about their capacity.",FALSE,
"A task that seems huge is actually just a series of small, manageable steps.",FALSE,
"Sadness is not a weakness, but proof that you cared deeply about something.",FALSE,
What you consider your biggest mistake might be the most important lesson of your life.,FALSE,
"Digital distractions are not just evil, but also a test of your ability to focus.",FALSE,
"'I don't know what I want' is not desperation, but a phase of discovery.",FALSE,
"A compliment is not just a nice phrase, but also an insight into what others value in you.",FALSE,
"The commute to work is not just a transfer, but a transitional ritual between two worlds.",FALSE,
"Lack of money is not just a problem, but also a lesson in creativity and minimalism.",FALSE,
"Worries about the future are just thoughts, not reality. The only reality is this breath.",FALSE,
Just because someone has more does not mean you have less. Success is not a pie with a limited number of slices.,FALSE,
"Physical activity is not a punishment for the body, but a gift you give it.",FALSE,
"'I' is not a fixed entity, but a process that is constantly changing and evolving.",FALSE,
"Forgiveness is not a gift for the other person, but a liberation for yourself.",FALSE,
You are not your thoughts. They are just clouds passing through the sky of your mind.,FALSE,
"Complaining is not just releasing tension, but also training your brain to see the negative.",FALSE,
"Perfection is not the goal, but an illusion. The goal is progress.",FALSE,
"Every person you meet is not just a passerby, but also a teacher with a unique lesson.",FALSE,
"Your intuition is not a coincidence, but data processing by your subconscious mind.",FALSE,
A bad decision does not exist. There is only a decision and the subsequent lesson.,FALSE,
The feeling of not wanting to do something is not a command. It is just a suggestion from your mind that you can refuse.,FALSE,
"Time is not something you lose, but something you invest. What are you investing it in today?",FALSE,
"Your home is not just a place, but also a physical embodiment of your personality.",FALSE,
"Technology is not your master, but a tool. Are you using it, or is it using you?",FALSE,
"A sleep problem is not just a frustration, but also a signal that your mind or body is out of balance.",FALSE,
"Aging is not decay, but the collection of experience and wisdom.",FALSE,
"Food is not just fuel, but also medicine and pleasure.",FALSE,
"Your clothes are not just fabric, but also a form of non-verbal communication with the world.",FALSE,
"Illness is not a punishment, but a radical reminder to slow down and re-evaluate priorities.",FALSE,
"The news in the media is not objective reality, but just a curated selection of events.",FALSE,
"Ignorance is not emptiness, but a state full of potential for learning.",FALSE,
"Planning is not restricting freedom, but creating freedom from decision fatigue.",FALSE,
"Being alone is not the same as being lonely. Being alone is a state, loneliness is a feeling.",FALSE,
Your goals are not set in stone. They are living things that can change.,FALSE,
"Memories are not accurate recordings, but stories we tell ourselves about our past.",FALSE,
"Breathing is not just an automatic process, but also a tool to control your mind and body.",FALSE,
"The power of habit is not a prison, but a tool to automate success.",FALSE,
Emotions are not good or bad. They are just information about your internal state.,FALSE,
"Your bed is not just a place to sleep, but also a space for dreaming and regeneration.",FALSE,
"Music is not just sound, but also a vibration that can change your mood and energy.",FALSE,
"A conversation is not just an exchange of words, but also a dance of thoughts and emotions.",FALSE,
"Nature is not just 'outside,' but a system of which you are an integral part.",FALSE,
"A city is not just concrete, but a living organism full of stories and interactions.",FALSE,
"Writing is not just recording thoughts, but also the process of discovering and organizing them.",FALSE,
"Reading is not just receiving information, but a dialogue with an author across time.",FALSE,
"Art is not just decoration, but a way to see the world through someone else's eyes.",FALSE,
"The body is not just a 'container' for the mind, but an intelligent system that constantly communicates with it.",FALSE,
"Cooking is not just a chore, but also a form of creative expression and care.",FALSE,
"Traveling is not just moving, but also a change of perspective and a test of adaptability.",FALSE,
"Money is not the goal, but a tool to achieve goals.",FALSE,
"Education is not just school, but a lifelong process of curiosity and discovery.",FALSE,
"A mirror does not show who you are, but only what you look like right now.",FALSE,
"A photograph does not capture reality, but only a specific moment from a specific perspective.",FALSE,
"The internet is not just a network, but also the collective consciousness of humanity with all its light and dark sides.",FALSE,
"Words are not just symbols, but also tools with which you create reality for yourself and others.",FALSE,
"An accident is not just bad luck, but also an unexpected turn on your journey.",FALSE,
"Patience is not passive waiting, but an active process of trusting the right timing.",FALSE,
"A smile is not just a movement of muscles, but also a signal that can change the chemistry of your brain and the other person's.",FALSE,
"Play is not just for children, but also a fundamental tool for creativity and learning at any age.",FALSE,
"The answer 'I don't know' is not a sign of stupidity, but a gateway to new knowledge.",FALSE,
"Tradition is not just an old custom, but also a legacy of ancestral wisdom.",FALSE,
"Comparing yourself to others is not a path to motivation, but a recipe for dissatisfaction.",FALSE,
"Your comfort zone is not a safe haven, but a place where dreams and growth slowly die.",FALSE,
"A communication problem is not the other person's fault, but a shared challenge to find a common language.",FALSE,
"'Normal' is not an objective state, but just the average of what you are used to.",FALSE,
"The desire for recognition is not a weakness, but a basic human need for belonging.",FALSE,
"Helping others is not just a sacrifice, but also an investment in your own sense of purpose.",FALSE,
The small things are not small. They are the big things that make up the mosaic of your life.,FALSE,
