verse_reference,language,used,date_used
1 Chronicles 28:9,english,FALSE,
1 Chronicles 29:11,english,FALSE,
1 Kings 18:21,english,FALSE,
1 Kings 3:9,english,FALSE,
1 Kings 8:56,english,FALSE,
Genesis 1:1,english,FALSE,
Genesis 1:26,english,FALSE,
Genesis 1:27,english,FALSE,
Genesis 1:3,english,FALSE,
Genesis 1:31,english,FALSE,
Genesis 12:1-3,english,FALSE,
Genesis 15:1,english,FALSE,
Genesis 18:14,english,FALSE,
Genesis 2:18,english,FALSE,
Genesis 2:24,english,FALSE,
Genesis 2:7,english,FALSE,
Genesis 22:14,english,FALSE,
Genesis 28:15,english,FALSE,
Genesis 3:15,english,FALSE,
Genesis 32:28,english,FALSE,
Genesis 39:9,english,FALSE,
Genesis 41:38,english,FALSE,
Genesis 45:7,english,FALSE,
Genesis 50:20,english,FALSE,
Genesis 6:8,english,FALSE,
Genesis 9:13,english,FALSE,
1 Samuel 1:27,english,FALSE,
1 Samuel 12:24,english,FALSE,
1 Samuel 15:22,english,FALSE,
1 Samuel 16:7,english,FALSE,
1 Samuel 17:45,english,FALSE,
1 Samuel 2:2,english,FALSE,
1 Samuel 3:10,english,FALSE,
1 Samuel 30:6,english,FALSE,
2 Chronicles 16:9,english,FALSE,
2 Chronicles 20:15,english,FALSE,
2 Kings 6:16,english,FALSE,
Exodus 14:14,english,FALSE,
Exodus 15:2,english,FALSE,
Exodus 19:5,english,FALSE,
Exodus 20:1-17,english,FALSE,
Exodus 3:12,english,FALSE,
Exodus 3:14,english,FALSE,
Exodus 33:14,english,FALSE,
Exodus 34:6-7,english,FALSE,
2 Samuel 22:2-4,english,FALSE,
2 Samuel 22:3,english,FALSE,
2 Samuel 22:31,english,FALSE,
2 Samuel 7:22,english,FALSE,
Deuteronomy 10:12-13,english,FALSE,
Deuteronomy 28:2,english,FALSE,
Deuteronomy 30:19,english,FALSE,
Deuteronomy 31:6,english,FALSE,
Deuteronomy 31:8,english,FALSE,
Deuteronomy 33:27,english,FALSE,
Deuteronomy 4:29,english,FALSE,
Deuteronomy 6:4-9,english,FALSE,
Deuteronomy 7:9,english,FALSE,
Deuteronomy 8:3,english,FALSE,
Obadiah 1:4,english,FALSE,
Haggai 1:4,english,FALSE,
Haggai 2:9,english,FALSE,
Amos 3:7,english,FALSE,
Amos 4:13,english,FALSE,
Amos 5:24,english,FALSE,
Daniel 1:8,english,FALSE,
Daniel 10:12,english,FALSE,
Daniel 11:32,english,FALSE,
Daniel 12:3,english,FALSE,
Daniel 2:20-22,english,FALSE,
Daniel 3:17-18,english,FALSE,
Daniel 6:10,english,FALSE,
Daniel 9:9,english,FALSE,
Esther 4:14,english,FALSE,
Ezra 10:4,english,FALSE,
Ezra 7:10,english,FALSE,
Ezekiel 11:19,english,FALSE,
Ezekiel 18:32,english,FALSE,
Ezekiel 22:30,english,FALSE,
Ezekiel 3:17,english,FALSE,
Ezekiel 33:11,english,FALSE,
Ezekiel 36:26,english,FALSE,
Genesis 1:1,english,FALSE,
Habakkuk 2:2-3,english,FALSE,
Habakkuk 3:17-19,english,FALSE,
Isaiah 1:18,english,FALSE,
Isaiah 12:2,english,FALSE,
Isaiah 12:3,english,FALSE,
Isaiah 25:1,english,FALSE,
Isaiah 26:3,english,FALSE,
Isaiah 26:4,english,FALSE,
Isaiah 30:15,english,FALSE,
Isaiah 30:21,english,FALSE,
Isaiah 32:17,english,FALSE,
Isaiah 33:6,english,FALSE,
Isaiah 35:4,english,FALSE,
Isaiah 40:11,english,FALSE,
Isaiah 40:28-31,english,FALSE,
Isaiah 40:29,english,FALSE,
Isaiah 40:31,english,FALSE,
Isaiah 40:8,english,FALSE,
Isaiah 41:10,english,FALSE,
Isaiah 41:13,english,FALSE,
Isaiah 42:16,english,FALSE,
Isaiah 43:1-2,english,FALSE,
Isaiah 43:19,english,FALSE,
Isaiah 43:25,english,FALSE,
Isaiah 43:4,english,FALSE,
Isaiah 44:22,english,FALSE,
Isaiah 45:7,english,FALSE,
Isaiah 46:4,english,FALSE,
Isaiah 48:17,english,FALSE,
Isaiah 49:15-16,english,FALSE,
Isaiah 50:7,english,FALSE,
Isaiah 52:12,english,FALSE,
Isaiah 52:7,english,FALSE,
Isaiah 53:5-6,english,FALSE,
Isaiah 54:10,english,FALSE,
Isaiah 54:17,english,FALSE,
Isaiah 54:7-8,english,FALSE,
Isaiah 55:1-2,english,FALSE,
Isaiah 55:6,english,FALSE,
Isaiah 55:7,english,FALSE,
Isaiah 55:8-9,english,FALSE,
Isaiah 57:15,english,FALSE,
Isaiah 58:11,english,FALSE,
Isaiah 58:6-7,english,FALSE,
Isaiah 59:1-2,english,FALSE,
Isaiah 6:3,english,FALSE,
