verse_reference,theme,language,used,date_used
Albert Camus - "What is absurd is the confrontation between the irrational and the desperate longing for clarity whose call echoes in the human heart.",philosophy_mix,english,TRUE,
Albert Camus - "The only way to deal with an unfree world is to become so absolutely free that your very existence is an act of rebellion.",philosophy_mix,english,TRUE,
"Albert Camus - ""In the midst of winter, I found there was, within me, an invincible summer.""",philosophy_mix,english,TRUE,
Albert Camus - "Life is the sum of all your choices.",philosophy_mix,english,TRUE,
"Albert Einstein - ""Everybody is a genius. But if you judge a fish by its ability to climb a tree, it will live its whole life believing that it is stupid.""",philosophy_mix,english,TRUE,
Albert Einstein - "Imagination is more important than knowledge.",philosophy_mix,english,TRUE,
"Albert Einstein - ""Try not to become a man of success, but rather try to become a man of value.""",philosophy_mix,english,TRUE,
"Albert Einstein - ""Life is like riding a bicycle. To keep your balance, you must keep moving.""",philosophy_mix,english,TRUE,
"Ambrose Redmoon - ""Courage is not the absence of fear, but rather the judgment that something else is more important than fear.""",philosophy_mix,english,TRUE,
"Andy Rooney - ""Everyone wants to live on top of the mountain, but all the happiness and growth occurs while you're climbing it.""",philosophy_mix,english,TRUE,
Anonymous (often attributed to Einstein) - "Insanity is doing the same thing over and over and expecting different results.",philosophy_mix,english,TRUE,
"Antoine de Saint-Exupéry - ""If you want to build a ship, don't drum up the people to gather wood, divide the work, and give orders. Instead, teach them to yearn for the vast and endless sea.""",philosophy_mix,english,TRUE,
"Antoine de Saint-Exupéry - ""Perfection is achieved, not when there is nothing more to add, but when there is nothing left to take away.""",philosophy_mix,english,TRUE,
Aristotle - "Courage is the first of human qualities because it is the quality which guarantees the others.",philosophy_mix,english,TRUE,
Aristotle - "A friend to all is a friend to none.",philosophy_mix,english,TRUE,
"Aristotle - ""We are what we repeatedly do. Excellence, then, is not an act, but a habit.""",philosophy_mix,english,TRUE,
Aristotle - "Happiness depends upon ourselves.",philosophy_mix,english,TRUE,
Benjamin Franklin - "Well done is better than well said.",philosophy_mix,english,TRUE,
Benjamin Franklin - "An investment in knowledge pays the best interest.",philosophy_mix,english,TRUE,
"Benjamin Franklin - ""It is no shame to not know, but it is a shame to not want to learn.""",philosophy_mix,english,TRUE,
Benjamin Franklin - "Tell me and I forget. Teach me and I remember. Involve me and I learn.",philosophy_mix,english,TRUE,
"Blaise Pascal - ""Man is but a reed, the most feeble thing in nature, but he is a thinking reed.""",philosophy_mix,english,TRUE,
"Blaise Pascal - ""The heart has its reasons, which reason does not know.""",philosophy_mix,english,TRUE,
"Buddha - ""Our mind is everything. What we think, we become.""",philosophy_mix,english,TRUE,
Buddha - "There is no path to happiness. Happiness is the path.",philosophy_mix,english,TRUE,
"Buddha - ""A thousand candles can be lit from a single candle, and the life of the candle will not be shortened. Happiness never decreases by being shared.""",philosophy_mix,english,TRUE,
Charles Darwin - "A man who dares to waste one hour of time has not discovered the value of life.",philosophy_mix,english,TRUE,
"Epictetus - ""Wealth consists not in having great possessions, but in having few wants.""",philosophy_mix,english,TRUE,
Epictetus - "We have two ears and one mouth so that we can listen twice as much as we speak.",philosophy_mix,english,TRUE,
Epictetus - "First say to yourself what you would be; and then do what you have to do.",philosophy_mix,english,TRUE,
"Epictetus - ""It's not what happens to you, but how you react to it that matters.""",philosophy_mix,english,TRUE,
Friedrich Nietzsche - "And those who were seen dancing were thought to be insane by those who could not hear the music.",philosophy_mix,english,TRUE,
Friedrich Nietzsche - "He who fights with monsters should be careful lest he thereby become a monster.",philosophy_mix,english,TRUE,
Friedrich Nietzsche - "That which does not kill me makes me stronger.",philosophy_mix,english,TRUE,
"Friedrich Nietzsche - ""Without music, life would be a mistake.""",philosophy_mix,english,TRUE,
Galileo Galilei - "The greatest wisdom is to know oneself.",philosophy_mix,english,TRUE,
Henri Poincaré - "To doubt everything or to believe everything are two equally convenient solutions; both dispense with the necessity of reflection.",philosophy_mix,english,TRUE,
"Henry David Thoreau - ""To be a philosopher is not merely to have subtle thoughts, but to so love wisdom as to live according to its dictates, a life of simplicity, independence, and trust.""",philosophy_mix,english,TRUE,
"Henry David Thoreau - ""Happiness is like a butterfly; the more you chase it, the more it will elude you, but if you turn your attention to other things, it will come and sit softly on your shoulder.""",philosophy_mix,english,TRUE,
Henry David Thoreau - "What lies behind us and what lies before us are tiny matters compared to what lies within us.",philosophy_mix,english,TRUE,
"Henry Ford - ""Whether you think you can, or you think you can't ? you're right.""",philosophy_mix,english,TRUE,
"Henry Ford - ""Failure is simply the opportunity to begin again, this time more intelligently.""",philosophy_mix,english,TRUE,
Heraclitus - "Character is destiny.",philosophy_mix,english,TRUE,
Heraclitus - "The only constant in life is change.",philosophy_mix,english,TRUE,
Heraclitus - "You cannot step into the same river twice.",philosophy_mix,english,TRUE,
Immanuel Kant - "Two things fill the mind with ever new and increasing admiration and awe: the starry heavens above me and the moral law within me.",philosophy_mix,english,TRUE,
"Immanuel Kant - ""Act in such a way that you treat humanity, whether in your own person or in the person of any other, never merely as a means to an end, but always at the same time as an end.""",philosophy_mix,english,TRUE,
Jean-Paul Sartre - "Man is condemned to be free.",philosophy_mix,english,TRUE,
Jean-Paul Sartre - "Hell is other people.",philosophy_mix,english,TRUE,
Jean-Paul Sartre - "Freedom is what you do with what's been done to you.",philosophy_mix,english,TRUE,
Jean-Paul Sartre - "Life begins on the other side of despair.",philosophy_mix,english,TRUE,
John Lennon - "Life is what happens when you're busy making other plans.",philosophy_mix,english,TRUE,
Confucius - "It does not matter how slowly you go as long as you do not stop.",philosophy_mix,english,TRUE,
"Confucius - ""Choose a job you love, and you will never have to work a day in your life.""",philosophy_mix,english,TRUE,
"Confucius - ""Everything has beauty, but not everyone sees it.""",philosophy_mix,english,TRUE,
