verse_reference,language,used,date_used
"1 John 1,5",english,FALSE,
"1 John 1,7",english,FALSE,
"1 John 1,9",english,FALSE,
"1 John 2,1",english,FALSE,
"1 John 2,15",english,FALSE,
"1 John 2,17",english,FALSE,
"1 John 2,6",english,FALSE,
"1 John 3,1",english,FALSE,
"1 John 3,16",english,FALSE,
"1 John 3,18",english,FALSE,
"1 John 3,2",english,FALSE,
"1 John 3,24",english,FALSE,
"1 John 3,8",english,FALSE,
"1 John 4,1",english,FALSE,
"1 John 4,16",english,FALSE,
"1 John 4,18",english,FALSE,
"1 John 4,19",english,FALSE,
"1 John 4,4",english,FALSE,
"1 John 4,7-8",english,FALSE,
"1 John 5,14-15",english,FALSE,
"1 John 5,3-4",english,FALSE,
"1 Corinthians 1,18",english,FALSE,
"1 Corinthians 1,25",english,FALSE,
"1 Corinthians 1,27",english,FALSE,
"1 Corinthians 10,13",english,FALSE,
"1 Corinthians 10,23",english,FALSE,
"1 Corinthians 10,31",english,FALSE,
"1 Corinthians 11,1",english,FALSE,
"1 Corinthians 12,27",english,FALSE,
"1 Corinthians 13,1-3",english,FALSE,
"1 Corinthians 13,13",english,FALSE,
"1 Corinthians 13,4-8",english,FALSE,
"1 Corinthians 14,33",english,FALSE,
"1 Corinthians 14,40",english,FALSE,
"1 Corinthians 15,10",english,FALSE,
"1 Corinthians 15,3-4",english,FALSE,
"1 Corinthians 15,33",english,FALSE,
"1 Corinthians 15,51-52",english,FALSE,
"1 Corinthians 15,57",english,FALSE,
"1 Corinthians 15,58",english,FALSE,
"1 Corinthians 16,14",english,FALSE,
"1 Corinthians 2,14",english,FALSE,
"1 Corinthians 2,9",english,FALSE,
"1 Corinthians 3,16",english,FALSE,
"1 Corinthians 4,5",english,FALSE,
"1 Corinthians 6,12",english,FALSE,
"1 Corinthians 6,19-20",english,FALSE,
"1 Corinthians 9,24",english,FALSE,
"1 Peter 1,13",english,FALSE,
"1 Peter 1,15-16",english,FALSE,
"1 Peter 1,23",english,FALSE,
"1 Peter 1,3",english,FALSE,
"1 Peter 1,6-7",english,FALSE,
"1 Peter 2,11",english,FALSE,
"1 Peter 2,2",english,FALSE,
"1 Peter 2,21",english,FALSE,
"1 Peter 2,24",english,FALSE,
"1 Peter 2,9",english,FALSE,
"1 Peter 3,15",english,FALSE,
"1 Peter 3,18",english,FALSE,
"1 Peter 3,8-9",english,FALSE,
"1 Peter 4,10",english,FALSE,
"1 Peter 4,8",english,FALSE,
"1 Peter 5,6-7",english,FALSE,
"1 Peter 5,7",english,FALSE,
"1 Peter 5,8",english,FALSE,
"1 Thessalonians 1,5",english,FALSE,
"1 Thessalonians 2,4",english,FALSE,
"1 Thessalonians 3,12",english,FALSE,
"1 Thessalonians 4,11",english,FALSE,
"1 Thessalonians 4,16-17",english,FALSE,
"1 Thessalonians 4,3",english,FALSE,
"1 Thessalonians 4,7",english,FALSE,
"1 Thessalonians 5,11",english,FALSE,
"1 Thessalonians 5,16-18",english,FALSE,
"1 Thessalonians 5,24",english,FALSE,
"1 Timothy 1,15",english,FALSE,
"1 Timothy 2,1-2",english,FALSE,
"1 Timothy 2,5",english,FALSE,
"1 Timothy 4,12",english,FALSE,
"1 Timothy 4,7-8",english,FALSE,
"1 Timothy 6,10",english,FALSE,
"1 Timothy 6,12",english,FALSE,
"1 Timothy 6,6-8",english,FALSE,
"2 Corinthians 1,20",english,FALSE,
"2 Corinthians 1,3-4",english,FALSE,
"2 Corinthians 10,5",english,FALSE,
"2 Corinthians 12,9-10",english,FALSE,
"2 Corinthians 13,11",english,FALSE,
"2 Corinthians 13,5",english,FALSE,
"2 Corinthians 2,14",english,FALSE,
"2 Corinthians 3,17",english,FALSE,
"2 Corinthians 3,5-6",english,FALSE,
"2 Corinthians 4,16-18",english,FALSE,
"2 Corinthians 4,7",english,FALSE,
"2 Corinthians 4,8-9",english,FALSE,
"2 Corinthians 5,1",english,FALSE,
"2 Corinthians 5,10",english,FALSE,
"2 Corinthians 5,17",english,FALSE,
"2 Corinthians 5,21",english,FALSE,
"2 Corinthians 5,7",english,FALSE,
"2 Corinthians 6,14",english,FALSE,
"2 Corinthians 7,1",english,FALSE,
"2 Corinthians 8,9",english,FALSE,
"2 Corinthians 9,6",english,FALSE,
"2 Corinthians 9,7",english,FALSE,
"2 Corinthians 9,8",english,FALSE,
"2 Peter 1,21",english,FALSE,
"2 Peter 1,3",english,FALSE,
"2 Peter 3,9",english,FALSE,
"2 Thessalonians 1,11-12",english,FALSE,
"2 Thessalonians 2,16-17",english,FALSE,
"2 Thessalonians 3,10",english,FALSE,
"2 Thessalonians 3,3",english,FALSE,
"2 Timothy 1,7",english,FALSE,
"2 Timothy 1,9",english,FALSE,
"2 Timothy 2,1",english,FALSE,
"2 Timothy 2,13",english,FALSE,
"2 Timothy 2,15",english,FALSE,
"2 Timothy 2,22",english,FALSE,
"2 Timothy 3,16-17",english,FALSE,
"2 Timothy 4,7",english,FALSE,
"Ephesians 1,17-19",english,FALSE,
"Ephesians 1,4-5",english,FALSE,
"Ephesians 1,7",english,FALSE,
"Ephesians 2,1",english,FALSE,
"Ephesians 2,10",english,FALSE,
"Ephesians 2,19",english,FALSE,
"Ephesians 2,4-5",english,FALSE,
"Ephesians 2,8-9",english,FALSE,
"Ephesians 3,12",english,FALSE,
"Ephesians 3,16-19",english,FALSE,
"Ephesians 3,20-21",english,FALSE,
"Ephesians 4,1-3",english,FALSE,
"Ephesians 4,15",english,FALSE,
"Ephesians 4,2",english,FALSE,
"Ephesians 4,22-24",english,FALSE,
"Ephesians 4,26",english,FALSE,
"Ephesians 4,29",english,FALSE,
"Ephesians 4,31-32",english,FALSE,
"Ephesians 4,32",english,FALSE,
"Ephesians 5,1-2",english,FALSE,
"Ephesians 5,11",english,FALSE,
"Ephesians 5,15-16",english,FALSE,
"Ephesians 5,18",english,FALSE,
"Ephesians 5,2",english,FALSE,
"Ephesians 5,8",english,FALSE,
"Ephesians 6,10-18",english,FALSE,
"Ephesians 6,12",english,FALSE,
"Philemon 1,4",english,FALSE,
"Philippians 1,21",english,FALSE,
"Philippians 1,27",english,FALSE,
"Philippians 1,6",english,FALSE,
"Philippians 1,9-11",english,FALSE,
"Philippians 2,1-2",english,FALSE,
"Philippians 2,13",english,FALSE,
"Philippians 2,14-15",english,FALSE,
"Philippians 2,3-4",english,FALSE,
"Philippians 2,5-8",english,FALSE,
"Philippians 3,10",english,FALSE,
"Philippians 3,13-14",english,FALSE,
"Philippians 3,20",english,FALSE,
"Philippians 3,7-9",english,FALSE,
"Philippians 4,11-13",english,FALSE,
"Philippians 4,13",english,FALSE,
"Philippians 4,19",english,FALSE,
"Philippians 4,4-7",english,FALSE,
"Philippians 4,6-7",english,FALSE,
"Philippians 4,8",english,TRUE,
"Philippians 4,9",english,FALSE,
"Philemon 1,6",english,FALSE,
"Galatians 1,10",english,FALSE,
"Galatians 2,16",english,FALSE,
"Galatians 2,20",english,FALSE,
"Galatians 3,26-27",english,FALSE,
"Galatians 3,28",english,FALSE,
"Galatians 5,1",english,FALSE,
"Galatians 5,13",english,FALSE,
"Galatians 5,14",english,FALSE,
"Galatians 5,16",english,FALSE,
"Galatians 5,22-23",english,FALSE,
"Galatians 5,24",english,FALSE,
"Galatians 5,6",english,FALSE,
"Galatians 6,1",english,FALSE,
"Galatians 6,10",english,FALSE,
"Galatians 6,14",english,FALSE,
"Galatians 6,17",english,FALSE,
"Galatians 6,2",english,FALSE,
"Galatians 6,4-5",english,FALSE,
"Galatians 6,7",english,FALSE,
"Galatians 6,9",english,FALSE,
"Hebrews 1,14",english,FALSE,
"Hebrews 10,19-22",english,FALSE,
"Hebrews 10,23",english,FALSE,
"Hebrews 10,24-25",english,FALSE,
"Hebrews 10,35-36",english,FALSE,
"Hebrews 10,39",english,FALSE,
"Hebrews 11,1",english,FALSE,
"Hebrews 11,24-26",english,FALSE,
"Hebrews 11,6",english,FALSE,
"Hebrews 12,1-2",english,FALSE,
"Hebrews 12,11",english,FALSE,
"Hebrews 12,14",english,FALSE,
"Hebrews 12,28",english,FALSE,
"Hebrews 13,15",english,FALSE,
"Hebrews 13,16",english,FALSE,
"Hebrews 13,20-21",english,FALSE,
"Hebrews 13,5",english,FALSE,
"Hebrews 13,6",english,FALSE,
"Hebrews 13,8",english,FALSE,
"Hebrews 2,1",english,FALSE,
"Hebrews 2,18",english,FALSE,
"Hebrews 3,13",english,FALSE,
"Hebrews 4,12",english,FALSE,
"Hebrews 4,14",english,FALSE,
"Hebrews 4,15-16",english,FALSE,
"Hebrews 6,10",english,FALSE,
"Hebrews 6,19",english,FALSE,
"Hebrews 7,25",english,FALSE,
"Hebrews 9,27",english,FALSE,
"James 1,12",english,TRUE,2025-10-13 18:19:25
"James 1,17",english,FALSE,
"James 1,19-20",english,FALSE,
"James 1,2-4",english,FALSE,
"James 1,22-25",english,FALSE,
"James 1,27",english,FALSE,
"James 1,5",english,FALSE,
"James 1,6",english,FALSE,
"James 2,13",english,FALSE,
"James 2,14-17",english,FALSE,
"James 2,19",english,FALSE,
"James 2,26",english,FALSE,
"James 3,17-18",english,FALSE,
"James 3,2",english,FALSE,
"James 4,10",english,FALSE,
"James 4,17",english,FALSE,
"James 4,6",english,FALSE,
"James 4,7",english,FALSE,
"James 4,8",english,FALSE,
"James 5,16",english,FALSE,
"John 1,1-5",english,FALSE,
"John 1,12",english,FALSE,
"John 1,14",english,FALSE,
"John 1,16",english,FALSE,
"John 1,29",english,FALSE,
"John 1,4-5",english,FALSE,
"John 1,47",english,FALSE,
"John 1,9",english,FALSE,
"John 10,10",english,FALSE,
