content,language,used,date_used
"Abstrakt (DE: das Abstract, ENG: abstract, IT: abstract) Krátke zhrnutie obsahu vedeckej práce alebo diela.",slovak,FALSE,
"Aforizmus (DE: der Aphorismus, ENG: aphorism, IT: aforisma) Krátke a výstižné múdre vyjadrenie alebo myšlienka.",slovak,FALSE,
"Akrofóbia (DE: die Akrophobie, ENG: acrophobia, IT: acrofobia) Strach z výšok.",slovak,FALSE,
"Alea (DE: das Alea, ENG: chance, IT: alea) Náhoda alebo nepredvídatelný faktor.",slovak,FALSE,
"Alegorický (DE: allegorisch, ENG: allegorical, IT: allegorico) Vyjadrený symbolickým obrazom alebo príbehom.",slovak,FALSE,
"Alegória (DE: die Allegorie, ENG: allegory, IT: allegoria) Symbolické znázornenie abstraktnej myšlienky.",slovak,FALSE,
Postulate - Principle or assumption considered self-evident.,english,FALSE,
"Pragmatic - Guided by practicality, not theory.",english,FALSE,
Pragmatism - Philosophical approach evaluating ideas by their practical consequences.,english,FALSE,
Pragmatics - Study of language use in the context of communication.,english,FALSE,
Precedent - Previous case or decision serving as a model for future situations.,english,FALSE,
Preconception - Preconceived opinion or idea before experience.,english,FALSE,
Premise - Starting statement from which a conclusion is derived.,english,FALSE,
Procrastination - Delaying duties until later.,english,FALSE,
Prolegomena - Introductory remarks or notes for the study of a book or science.,english,FALSE,
Propaedeutics - Introductory and preparatory study of a certain discipline.,english,FALSE,
Personification - Literary figure where inanimate objects or abstract concepts gain human qualities.,english,FALSE,
Contradictory - Having opposite or conflicting qualities.,english,FALSE,
Prototype - Original model from which others are created.,english,FALSE,
Pseudonym - Fake or artificial name of an author.,english,FALSE,
