content,used,date_used
What is one thing you want to do differently this year compared to last year?,FALSE,
Which habit from last year do you want to consciously carry into this one?,FALSE,
"What does 'success' mean to you this month, if you were to ignore the expectations of others?",FALSE,
What is one thing you learned yesterday that you can use today?,FALSE,
Which thought is taking up the most of your mental energy today?,FALSE,
"If you had 20% more courage, what would you do differently today?",FALSE,
Which activity recently gave you a feeling of deep focus (flow)?,FALSE,
What quality in yourself are you most proud of at the moment?,FALSE,
Which conversation from the past week left the strongest impression on you and why?,FALSE,
What is one thing you are afraid of but know you should do?,FALSE,
"If you had to live today over again, what one thing would you change?",FALSE,
Which of your values was tested the most yesterday?,FALSE,
What small step can you take today towards a big goal?,FALSE,
"When was the last time you laughed heartily, and what caused it?",FALSE,
Which task that you are procrastinating on would bring you the most relief once completed?,FALSE,
"If you were to advise your younger self, what would you tell them about the present moment?",FALSE,
What criticism you recently received was actually useful?,FALSE,
"What is one thing in your life that you currently take for granted, but shouldn't?",FALSE,
What is the best compliment you have received lately?,FALSE,
"What skill, if you learned it, would simplify your life the most?",FALSE,
What is one thing you can do for your physical health today?,FALSE,
What interaction with a stranger recently improved your day?,FALSE,
What small failure from recently actually taught you something?,FALSE,
What is one thing you are grateful for today that isn't related to material things?,FALSE,
Which song or piece of music best captures your current mood?,FALSE,
"If you had unlimited time, which activity would you dedicate yourself to today?",FALSE,
What is the most interesting thing you have learned this week?,FALSE,
What advice would you give to a friend facing the same problem as you?,FALSE,
Which part of your daily routine brings you the most peace?,FALSE,
What is one thing you can organize today to make tomorrow easier?,FALSE,
"When was the last time you did something just for joy, regardless of productivity?",FALSE,
Which of your weaknesses is actually a hidden strength?,FALSE,
What is one thing you can do for your mental health today?,FALSE,
Which place in your surroundings gives you the most energy?,FALSE,
"If you had to summarize yesterday in three words, what would they be?",FALSE,
What is one thing you have realized about yourself this month?,FALSE,
Which movie or book recently made you think?,FALSE,
What one thing would you want people to know about you that you never say?,FALSE,
"Which sense (sight, hearing, smell, taste, touch) did you use most consciously today?",FALSE,
What is one thing you can do today to improve someone else's day?,FALSE,
When was the last time you felt truly rested?,FALSE,
What is the biggest source of stress in your life right now?,FALSE,
What is one thing you have always wanted to try but haven't gotten around to yet?,FALSE,
Which part of the day is most productive for you and why?,FALSE,
What is one thing you can forgive yourself for today?,FALSE,
Which memory always manages to bring a smile to your face?,FALSE,
"If you were to describe your life as a book, what would the current chapter's title be?",FALSE,
What is one thing you can delegate or ask for help with today?,FALSE,
When was the last time you said 'no' to something you didn't want to do?,FALSE,
What is one small joy you will treat yourself to today?,FALSE,
Which of your fears turned out to be completely unfounded in the past?,FALSE,
What is one thing you can do today for your neighborhood or community?,FALSE,
What is your biggest 'time waster' and how could you limit it?,FALSE,
Which person in your life inspires you the most and why?,FALSE,
What is one thing you learned about yourself during the pandemic?,FALSE,
What one thing would you change about the world if you had the power?,FALSE,
Which object in your home evokes the most positive feelings in you?,FALSE,
What is one thing you can do today to feel more connected to nature?,FALSE,
When was the last time you did something spontaneously?,FALSE,
What is the most important lesson your last relationship (of any kind) taught you?,FALSE,
What is one thing you can do today to move closer to your dream?,FALSE,
"If you had an extra hour today, how would you use it?",FALSE,
Which color best describes your energy today?,FALSE,
What is one thing you thought you couldn't do but eventually managed to do?,FALSE,
When was the last time you felt truly heard?,FALSE,
What is one thing you can do today to create a more beautiful environment for yourself?,FALSE,
What is your favorite sound and why?,FALSE,
What is one thing you learned from your parents (good or bad)?,FALSE,
When was the last time you asked for feedback?,FALSE,
What is one thing you can do today to feel more confident?,FALSE,
What is the best way you know to calm down when you're stressed?,FALSE,
What one thing would you want people to remember you for?,FALSE,
When was the last time you sincerely thanked someone?,FALSE,
What is one thing you can do today to learn something new?,FALSE,
What is your favorite quote and why does it resonate with you right now?,FALSE,
What is one thing you realized about yourself during your last vacation?,FALSE,
When was the last time you spent time alone without any distractions?,FALSE,
What is one thing you can do today to feel more organized?,FALSE,
What is your favorite way to show love to others?,FALSE,
What is one thing you have learned from someone else's mistake?,FALSE,
When was the last time you felt truly proud of someone else?,FALSE,
What is one thing you can do today to support your dreams?,FALSE,
What one thing would you want your friends to know about you?,FALSE,
What is one thing you realized about yourself while looking at old photographs?,FALSE,
When was the last time you did something that scared you a little?,FALSE,
What is one thing you can do today to improve your mood?,FALSE,
What is your favorite way to spend time with family?,FALSE,
What is one thing you learned from a book you recently read?,FALSE,
When was the last time you felt truly inspired?,FALSE,
What is one thing you can do today to feel more connected to your goals?,FALSE,
What one thing would you want your colleagues to know about you?,FALSE,
What is one thing you realized about yourself while listening to music?,FALSE,
When was the last time you did something for your health that you also enjoyed?,FALSE,
What is one thing you can do today to feel more creative?,FALSE,
What is your favorite way to relax after a long day?,FALSE,
What is one thing you learned from a movie you recently saw?,FALSE,
When was the last time you felt truly grateful for your body?,FALSE,
What is one thing you can do today to feel more present?,FALSE,
What one thing would you want your neighbors to know about you?,FALSE,
What is one thing you realized about yourself during a walk in nature?,FALSE,
When was the last time you helped someone without expecting anything in return?,FALSE,
What is one thing you can do today to feel more fulfilled?,FALSE,
What is your favorite way to celebrate your achievements?,FALSE,
What is one thing you learned from a podcast you recently listened to?,FALSE,
When was the last time you felt truly brave?,FALSE,
What is one thing you can do today to feel more free?,FALSE,
What one thing would you want the world to know about you?,FALSE,
What is one thing you realized about yourself while traveling?,FALSE,
When was the last time you did something completely out of your comfort zone?,FALSE,
What is one thing you can do today to feel more connected with your values?,FALSE,
What is your favorite way to start the day?,FALSE,
What is one thing you learned from a conversation with someone older?,FALSE,
When was the last time you felt truly understood?,FALSE,
What is one thing you can do today to be more grateful for your home?,FALSE,
What one thing would you want your future descendants to know about you?,FALSE,
What is one thing you realized about yourself while gardening or working with plants?,FALSE,
