content,used,date_used
The only way to do great work is to love what you do. - Steve Jobs,FALSE,
The future belongs to those who believe in the beauty of their dreams. - Eleanor Roosevelt,FALSE,
The best time to plant a tree was 20 years ago. The second best time is now. - Chinese Proverb,FALSE,
Our life is what our thoughts make it. - Marcus Aurelius,FALSE,
Believe you can and you're halfway there. - Theodore Roosevelt,FALSE,
"Failure is simply the opportunity to begin again, this time more intelligently. - Henry Ford",FALSE,
A journey of a thousand miles begins with a single step. - Lao Tzu,FALSE,
What lies behind us and what lies before us are tiny matters compared to what lies within us. - Ralph Waldo Emerson,FALSE,
Happiness is not something ready-made. It comes from your own actions. - Dalai Lama,FALSE,
It does not matter how slowly you go as long as you do not stop. - Confucius,FALSE,
Everything you can imagine is real. - Pablo Picasso,FALSE,
The biggest adventure you can take is to live the life of your dreams. - Oprah Winfrey,FALSE,
The quality of your life is in direct proportion to the quality of your thoughts. - Marcus Aurelius,FALSE,
"If you want to fly, you have to give up the things that weigh you down. - Toni Morrison",FALSE,
Discipline is the bridge between goals and accomplishment. - Jim Rohn,FALSE,
Nothing great was ever achieved without enthusiasm. - Ralph Waldo Emerson,FALSE,
"If you don't like where you are, move. You are not a tree. - Jim Rohn",FALSE,
The only limit you have is the one you set for yourself in your mind. - Napoleon Hill,FALSE,
"Success is the sum of small efforts, repeated day in and day out. - Robert Collier",FALSE,
"In order to be irreplaceable, one must always be different. - Coco Chanel",FALSE,
Life is 10% what happens to you and 90% how you react to it. - Charles R. Swindoll,FALSE,
We build walls to see who cares enough to climb them. - Randy Pausch,FALSE,
"If you want to see the rainbow, you have to put up with the rain. - Dolly Parton",FALSE,
The best way to predict the future is to create it. - Peter Drucker,FALSE,
Be the change you wish to see in the world. - Mahatma Gandhi,FALSE,
It always seems impossible until it's done. - Nelson Mandela,FALSE,
Falling down is not a failure. Failure is staying down. - Confucius,FALSE,
"Your mind is a muscle. The more you use it, the stronger it gets. - Brian Tracy",FALSE,
The difference between ordinary and extraordinary is that little 'extra'. - Jimmy Johnson,FALSE,
"If you want to go fast, go alone. If you want to go far, go together. - African Proverb",FALSE,
"The greatest glory in living lies not in never falling, but in rising every time we fall. - Nelson Mandela",FALSE,
"What defines you is not what happens to you, but how you react to it. - Epictetus",FALSE,
You can't discover new oceans unless you have the courage to lose sight of the shore. - André Gide,FALSE,
"If you focus on the obstacles, you will only see obstacles. If you focus on the goal, you will see the way. - Henry Ford",FALSE,
Your value doesn't increase by decreasing someone else's value. - Unknown,FALSE,
"If you want to be interesting, be interested. - Dale Carnegie",FALSE,
"The greatest source of unhappiness is our own thoughts, not the circumstances. - Unknown",FALSE,
The quality of your life depends on the quality of your questions. - Tony Robbins,FALSE,
"Life is like riding a bicycle. To keep your balance, you must keep moving. - Albert Einstein",FALSE,
Everything you've ever wanted is on the other side of fear. - George Addair,FALSE,
"Happiness is not a state to arrive at, but a manner of traveling. - Margaret Lee Runbeck",FALSE,
"The only way to avoid criticism: do nothing, say nothing, be nothing. - Aristotle",FALSE,
Your decisions are more important than your abilities. - Unknown,FALSE,
It's never too late to be what you might have been. - George Eliot,FALSE,
"What troubles you, controls you. - Seneca",FALSE,
The only real failure is to stop trying. - Elbert Hubbard,FALSE,
Your energy is your most valuable currency. Invest it wisely. - Unknown,FALSE,
Every 'yes' to something is also a 'no' to something else. - James Clear,FALSE,
The problem is not the problem. The problem is your attitude about the problem. - Captain Jack Sparrow,FALSE,
"The greatest growth does not happen when everything is fine, but when you face challenges. - Unknown",FALSE,
"The perfect moment will not come. The perfect moment is now, if you so decide. - Unknown",FALSE,
"The feeling that you have to handle everything yourself is not a sign of strength, but a lack of trust in others. - Simon Sinek",FALSE,
Success is a lousy teacher. It seduces smart people into thinking they can't lose. - Bill Gates,FALSE,
Your value is not defined by your productivity. - Unknown,FALSE,
"Whether you think you can, or you think you can't – you're right. - Henry Ford",FALSE,
The only thing standing between you and your dream is the story you keep telling yourself. - Tony Robbins,FALSE,
"If you want to have more, be grateful for what you have. - Oprah Winfrey",FALSE,
The greatest gift you can give someone is your full attention. - Thich Nhat Hanh,FALSE,
The best way to predict the future is to invent it. - Alan Kay,FALSE,
The reason we have two ears and one mouth is so we can listen more and talk less. - Zeno of Citium,FALSE,
The greatest discovery is that a person can change their life by changing their attitude. - William James,FALSE,
"If you don't like a rule, follow it until you get to a position where you can change it. - Unknown",FALSE,
The best way to learn something is to teach it to someone else. - Richard Feynman,FALSE,
"If you wait for ideal conditions, you will never start anything. - Ecclesiastes",FALSE,
Your reputation is what people think of you. Your character is who you really are. - John Wooden,FALSE,
The biggest risk in life is not taking any risk. - Mark Zuckerberg,FALSE,
"If you want to understand today, you have to search yesterday. - Pearl S. Buck",FALSE,
The single biggest problem in communication is the illusion that it has taken place. - George Bernard Shaw,FALSE,
"If you always do what you’ve always done, you’ll always get what you’ve always got. - Unknown",FALSE,
"The greatest enemy of knowledge is not ignorance, it is the illusion of knowledge. - Stephen Hawking",FALSE,
"Your thoughts become your words, your words become actions, actions become habits, habits become character, and character becomes destiny. - Lao Tzu",FALSE,
The only thing I know for sure is that I know nothing for sure. - Socrates,FALSE,
The greatest pleasure is doing what people say you cannot do. - Walter Bagehot,FALSE,
"If you don't like what you're getting back, change what you're sending out. - Unknown",FALSE,
The hardest thing in the world is to know yourself. - Thales of Miletus,FALSE,
"If you want your dreams to come true, the first thing you have to do is wake up. - J.M. Power",FALSE,
"Your problems are not stop signs, they are guidelines. - Robert H. Schuller",FALSE,
"If you want to be trusted, be honest. - Unknown",FALSE,
The greatest gift is a new day. - Unknown,FALSE,
"When you feel like you're losing control, remember that airplanes take off against the wind, not with it. - Henry Ford",FALSE,
The best way to destroy an enemy is to make him a friend. - Abraham Lincoln,FALSE,
"If you try to be everything to everyone, you'll be nothing to yourself. - John Lennon",FALSE,
The biggest mistake is being afraid to make one. - Elbert Hubbard,FALSE,
The best way to appreciate your job is to imagine yourself without one. - Oscar Wilde,FALSE,
"If you judge a fish by its ability to climb a tree, it will live its whole life believing that it is stupid. - Albert Einstein",FALSE,
The greatest obstacle in life is expectation. - Seneca,FALSE,
"If you want to be happy, do not seek for more, but enjoy less. - Seneca",FALSE,
The greatest wisdom is to know what to ignore. - William James,FALSE,
"If you don't like something, change it. If you can't change it, change your attitude. - Maya Angelou",FALSE,
The best time to relax is when you think you don't have time for it. - Sydney J. Harris,FALSE,
"If you want to hear what people are saying, don't listen to their words, but their silence. - Mother Teresa",FALSE,
The greatest wealth is health. - Virgil,FALSE,
The best way to prepare for the future is to focus on the present. - Thich Nhat Hanh,FALSE,
"If you want to gain knowledge, you must study. But if you want to gain wisdom, you must observe. - Marilyn vos Savant",FALSE,
The greatest measure of success is how much joy you feel. - Unknown,FALSE,
"If you feel like you're at the bottom, remember that the only way from there is up. - Unknown",FALSE,
The best way to deal with stress is to accept it as a part of life. - Hans Selye,FALSE,
"If you want to be respected, be respectful. - Confucius",FALSE,
The greatest obstacle to happiness is comparison. - Søren Kierkegaard,FALSE,
"If you feel you're not succeeding, change the approach, not the goal. - Unknown",FALSE,
The best way to find out if you can trust somebody is to trust them. - Ernest Hemingway,FALSE,
"To be creative, you must lose your fear of being wrong. - John C. Maxwell",FALSE,
The greatest sign of intelligence is the ability to change one's mind. - Albert Einstein,FALSE,
