content,used,date_used
"01/01","1993 – The independent Slovak Republic and Czech Republic are established after the dissolution of Czechoslovakia.",FALSE,
"01/02","1959 – The Soviet probe Luna 1 becomes the first artificial object to overcome Earth's gravitational pull.",FALSE,
"01/03","1977 – Apple Computer Inc. is founded.",FALSE,
"01/04","2004 – NASA's Spirit rover successfully lands on Mars.",FALSE,
"01/05","1933 – Construction begins on one of the world's most famous bridges, the Golden Gate Bridge, in San Francisco.",FALSE,
"01/06","1912 – New Mexico becomes the 47th U.S. state.",FALSE,
"01/07","1610 – Galileo Galilei observes the four largest moons of Jupiter for the first time.",FALSE,
"01/08","1958 – At the age of 14, Bobby Fischer becomes the youngest U.S. Chess Champion.",FALSE,
"01/09","2007 – Steve Jobs introduces the first iPhone from Apple.",FALSE,
"01/10","1920 – The League of Nations, the predecessor to the UN, is established.",FALSE,
"01/11","1922 – Insulin is successfully used for the first time in Toronto to treat diabetes in a human.",FALSE,
"01/12","1966 – The television series Batman, starring Adam West, premieres in the USA.",FALSE,
"01/13","1898 – French writer Émile Zola publishes his famous open letter 'J'accuse...!' in connection with the Dreyfus affair.",FALSE,
"01/14","1954 – Marilyn Monroe marries baseball legend Joe DiMaggio.",FALSE,
"01/15","2001 – Wikipedia, the free online encyclopedia, is launched.",FALSE,
"01/16","1920 – Prohibition, banning the production and sale of alcohol, goes into effect in the USA.",FALSE,
"01/17","1706 – Benjamin Franklin, American inventor, diplomat, and one of the Founding Fathers, is born.",FALSE,
"01/18","1778 – English captain James Cook discovers the Hawaiian Islands.",FALSE,
"01/19","1853 – Giuseppe Verdi's opera 'Il trovatore' premieres in Rome.",FALSE,
"01/20","1961 – John F. Kennedy is inaugurated as the 35th President of the USA.",FALSE,
"01/21","1976 – The supersonic transport aircraft Concorde takes off on its first commercial flight.",FALSE,
"01/22","1984 – Apple airs its famous '1984' commercial during the Super Bowl, introducing the Macintosh computer.",FALSE,
"01/23","1960 – Jacques Piccard and Don Walsh descend to the bottom of the Mariana Trench in the bathyscaphe Trieste.",FALSE,
"01/24","1848 – Gold is discovered in California, sparking the Gold Rush.",FALSE,
"01/25","1924 – The first Winter Olympic Games begin in Chamonix, France.",FALSE,
"01/26","1905 – The Cullinan, the largest diamond in history, is found in South Africa.",FALSE,
"01/27","1880 – Thomas Edison patents the electric light bulb.",FALSE,
"01/28","1986 – The Space Shuttle Challenger explodes shortly after liftoff, killing all 7 crew members.",FALSE,
"01/29","1886 – Karl Benz patents the first successful gasoline-powered automobile.",FALSE,
"01/30","1969 – The Beatles perform their last public concert on the roof of the Apple Corps building in London.",FALSE,
"01/31","1958 – The USA launches its first successful satellite, Explorer 1.",FALSE,
"02/01","1884 – The first volume of the Oxford English Dictionary is published.",FALSE,
"02/02","1943 – The Battle of Stalingrad, a key turning point in World War II, ends.",FALSE,
