content,used,date_used
Ephemeral (adj.): Lasting for a very short time; transient. Example: The beauty of cherry blossoms is ephemeral.,FALSE,
Procrastination (n.): The action of delaying or postponing something. Example: His procrastination caused him to submit the project after the deadline.,FALSE,
"Melancholy (n.): A feeling of pensive sadness, typically with no obvious cause. Example: The autumn weather filled him with a sense of melancholy.",FALSE,
Paradox (n.): A seemingly absurd or self-contradictory statement that when investigated may prove to be well founded or true. Example: It is a paradox that we must find time to rest.,FALSE,
"Catharsis (n.): The process of releasing, and thereby providing relief from, strong or repressed emotions, especially through art. Example: Watching the tragic film brought him a form of catharsis.",FALSE,
Empathy (n.): The ability to understand and share the feelings of another. Example: His empathy made him a great friend and colleague.,FALSE,
"Apathy (n.): A lack of interest, enthusiasm, or concern. Example: After a long period of stress, he fell into a state of apathy.",FALSE,
"Sarcasm (n.): The use of irony to mock or convey contempt. Example: 'That's a great idea,' he said with obvious sarcasm.",FALSE,
"Euphemism (n.): A mild or indirect word or expression substituted for one considered to be too harsh or blunt. Example: Instead of 'died,' he used the euphemism 'passed away.'",FALSE,
"Nostalgia (n.): A sentimental longing or wistful affection for a period in the past. Example: Hearing the old song, he felt a wave of nostalgia.",FALSE,
Archetype (n.): A very typical example of a certain person or thing; a recurrent symbol in literature and myths. Example: The wise old man is a common archetype in fairy tales.,FALSE,
Dogma (n.): A principle or set of principles laid down as incontrovertibly true. Example: He refused to blindly accept religious dogmas.,FALSE,
Metaphor (n.): A figure of speech in which a word or phrase is applied to an object or action to which it is not literally applicable. Example: He said that life is a river.,FALSE,
Irony (n.): The expression of one's meaning by using language that normally signifies the opposite. Example: The irony of fate is that the fireman's house burned down.,FALSE,
Alacrity (n.): Brisk and cheerful readiness. Example: He accepted the new challenge with unexpected alacrity.,FALSE,
Bon vivant (n.): A person who enjoys a sociable and luxurious lifestyle. Example: He was known as a bon vivant who loved good food and company.,FALSE,
Charisma (n.): Compelling attractiveness or charm that can inspire devotion in others. Example: The politician's charisma won him many voters.,FALSE,
Dilemma (n.): A situation in which a difficult choice has to be made between two equally undesirable alternatives. Example: He faced the dilemma of whether to admit the truth and risk punishment.,FALSE,
"Eclectic (adj.): Deriving ideas, style, or taste from a broad and diverse range of sources. Example: His musical taste was very eclectic, from classical to metal.",FALSE,
