author,quote,paradox,language,used,date_used
Albert Camus,"Co je absurdné, je konfrontácia medzi iracionálnym a zúfalou túžbou po jasnosti, ktorej volanie zaznieva v hlbke cloveka.",Hladanie zmyslu v tichom vesmíre,slovak,FALSE,
Albert Camus,What is absurd is the confrontation between the irrational and the wild longing for clarity whose call echoes in the human heart.,Finding meaning in a silent universe,english,FALSE,
Albert Camus,"Jediný spôsob, ako sa vyrovnat s neslobodným svetom, je stat sa tak absolútne slobodným, že tvoja samotná existencia je aktom vzbury.",Sloboda ako forma odporu,slovak,FALSE,
Albert Camus,The only way to deal with an unfree world is to become so absolutely free that your very existence is an act of rebellion.,Freedom as a form of resistance,english,FALSE,
Albert Camus,"Uprostred zimy som konecne zistil, že vo mne prebýva neporazitelné leto.",Sila v case zúfalstva,slovak,FALSE,
Albert Camus,"In the depth of winter, I finally learned that within me there lay an invincible summer.",Strength in times of despair,english,FALSE,
Ralph Waldo Emerson,"Do not go where the path may lead, go instead where there is no path and leave a trail.",Innovation,english,FALSE,
Oscar Wilde,"Žit je tá najvzácnejšia vec na svete. Väcšina ludí len existuje, to je všetko.",Existencia vs. Život,slovak,FALSE,
Oscar Wilde,"To live is the rarest thing in the world. Most people exist, that is all.",Existence vs. Living,english,FALSE,
Mark Twain,"Ak hovoríš pravdu, nemusíš si nic pamätat.",Pravda,slovak,FALSE,
Mark Twain,"If you tell the truth, you don't have to remember anything.",Truth,english,FALSE,
Lao-c',"Nic na svete nie je mäkšie a poddajnejšie ako voda, a predsa ju nic neprekoná v nicení tvrdého a silného.",Sila jemnosti,slovak,FALSE,
Lao Tzu,"Nothing is softer or more flexible than water, yet nothing can resist it.",Power of softness,english,FALSE,
