verse_reference,language,used,date_used
1 John 1:5,english,FALSE,
1 John 1:7,english,FALSE,
1 John 1:9,english,FALSE,
1 John 2:1,english,FALSE,
1 John 2:15,english,FALSE,
1 John 2:17,english,FALSE,
1 John 2:6,english,FALSE,
1 John 3:1,english,FALSE,
1 John 3:16,english,FALSE,
1 John 3:18,english,FALSE,
1 John 3:2,english,FALSE,
1 John 3:24,english,FALSE,
1 John 3:8,english,FALSE,
1 John 4:1,english,FALSE,
1 John 4:16,english,FALSE,
1 John 4:18,english,FALSE,
1 John 4:19,english,FALSE,
1 John 4:4,english,FALSE,
1 John 4:7-8,english,FALSE,
1 John 5:14-15,english,FALSE,
1 John 5:3-4,english,FALSE,
1 Chronicles 28:9,english,FALSE,
1 Chronicles 29:11,english,FALSE,
1 Corinthians 1:18,english,FALSE,
1 Corinthians 1:25,english,FALSE,
1 Corinthians 1:27,english,FALSE,
1 Corinthians 10:13,english,FALSE,
1 Corinthians 10:23,english,FALSE,
1 Corinthians 10:31,english,FALSE,
1 Corinthians 11:1,english,FALSE,
1 Corinthians 12:27,english,FALSE,
1 Corinthians 13:1-3,english,FALSE,
1 Corinthians 13:13,english,FALSE,
1 Corinthians 13:4-8,english,FALSE,
1 Corinthians 14:33,english,FALSE,
1 Corinthians 14:40,english,FALSE,
1 Corinthians 15:10,english,FALSE,
1 Corinthians 15:3-4,english,FALSE,
1 Corinthians 15:33,english,FALSE,
1 Corinthians 15:51-52,english,FALSE,
1 Corinthians 15:57,english,FALSE,
1 Corinthians 15:58,english,FALSE,
1 Corinthians 16:14,english,FALSE,
1 Corinthians 2:14,english,FALSE,
1 Corinthians 2:9,english,FALSE,
1 Corinthians 3:16,english,FALSE,
1 Corinthians 4:5,english,FALSE,
1 Corinthians 6:12,english,FALSE,
1 Corinthians 6:19-20,english,FALSE,
1 Corinthians 9:24,english,FALSE,
1 Kings 18:21,english,FALSE,
1 Kings 3:9,english,FALSE,
1 Kings 8:56,english,FALSE,
Genesis 1:1,english,FALSE,
Genesis 1:26,english,FALSE,
Genesis 1:27,english,FALSE,
Genesis 1:3,english,FALSE,
Genesis 1:31,english,FALSE,
Genesis 12:1-3,english,FALSE,
Genesis 15:1,english,FALSE,
Genesis 18:14,english,FALSE,
Genesis 2:18,english,FALSE,
Genesis 2:24,english,FALSE,
Genesis 2:7,english,FALSE,
Genesis 22:14,english,FALSE,
Genesis 28:15,english,FALSE,
Genesis 3:15,english,FALSE,
Genesis 32:28,english,FALSE,
Genesis 39:9,english,FALSE,
Genesis 41:38,english,FALSE,
Genesis 45:7,english,FALSE,
Genesis 50:20,english,FALSE,
Genesis 6:8,english,FALSE,
Genesis 9:13,english,FALSE,
1 Peter 1:13,english,FALSE,
1 Peter 1:15-16,english,FALSE,
1 Peter 1:23,english,FALSE,
1 Peter 1:3,english,FALSE,
1 Peter 1:6-7,english,FALSE,
1 Peter 2:11,english,FALSE,
1 Peter 2:2,english,FALSE,
1 Peter 2:21,english,FALSE,
1 Peter 2:24,english,FALSE,
1 Peter 2:9,english,FALSE,
1 Peter 3:15,english,FALSE,
1 Peter 3:18,english,FALSE,
1 Peter 3:8-9,english,FALSE,
1 Peter 4:10,english,FALSE,
1 Peter 4:8,english,FALSE,
1 Peter 5:6-7,english,FALSE,
1 Peter 5:7,english,FALSE,
1 Peter 5:8,english,FALSE,
1 Samuel 1:27,english,FALSE,
1 Samuel 12:24,english,FALSE,
1 Samuel 15:22,english,FALSE,
1 Samuel 16:7,english,FALSE,
1 Samuel 17:45,english,FALSE,
1 Samuel 2:2,english,FALSE,
1 Samuel 3:10,english,FALSE,
1 Samuel 30:6,english,FALSE,
1 Thessalonians 1:5,english,FALSE,
1 Thessalonians 2:4,english,FALSE,
1 Thessalonians 3:12,english,FALSE,
1 Thessalonians 4:11,english,FALSE,
1 Thessalonians 4:16-17,english,FALSE,
1 Thessalonians 4:3,english,FALSE,
1 Thessalonians 4:7,english,FALSE,
1 Thessalonians 5:11,english,FALSE,
1 Thessalonians 5:16-18,english,FALSE,
1 Thessalonians 5:24,english,FALSE,
1 Timothy 1:15,english,FALSE,
1 Timothy 2:1-2,english,FALSE,
1 Timothy 2:5,english,FALSE,
1 Timothy 4:12,english,FALSE,
1 Timothy 4:7-8,english,FALSE,
1 Timothy 6:10,english,FALSE,
1 Timothy 6:12,english,FALSE,
1 Timothy 6:6-8,english,FALSE,
2 Chronicles 16:9,english,FALSE,
2 Chronicles 20:15,english,FALSE,
2 Corinthians 1:20,english,FALSE,
2 Corinthians 1:3-4,english,FALSE,
2 Corinthians 10:5,english,FALSE,
2 Corinthians 12:9-10,english,FALSE,
2 Corinthians 13:11,english,FALSE,
2 Corinthians 13:5,english,FALSE,
2 Corinthians 2:14,english,FALSE,
2 Corinthians 3:17,english,FALSE,
2 Corinthians 3:5-6,english,FALSE,
2 Corinthians 4:16-18,english,FALSE,
2 Corinthians 4:7,english,FALSE,
2 Corinthians 4:8-9,english,FALSE,
2 Corinthians 5:1,english,FALSE,
2 Corinthians 5:10,english,FALSE,
2 Corinthians 5:17,english,FALSE,
2 Corinthians 5:21,english,FALSE,
2 Corinthians 5:7,english,FALSE,
2 Corinthians 6:14,english,FALSE,
2 Corinthians 7:1,english,FALSE,
2 Corinthians 8:9,english,FALSE,
2 Corinthians 9:6,english,FALSE,
2 Corinthians 9:7,english,FALSE,
2 Corinthians 9:8,english,FALSE,
2 Kings 6:16,english,FALSE,
Exodus 14:14,english,FALSE,
Exodus 15:2,english,FALSE,
Exodus 19:5,english,FALSE,
Exodus 20:1-17,english,FALSE,
Exodus 3:12,english,FALSE,
Exodus 3:14,english,FALSE,
Exodus 33:14,english,FALSE,
Exodus 34:6-7,english,FALSE,
2 Peter 1:21,english,FALSE,
2 Peter 1:3,english,FALSE,
2 Peter 3:9,english,FALSE,
2 Samuel 22:2-4,english,FALSE,
2 Samuel 22:3,english,FALSE,
2 Samuel 22:31,english,FALSE,
2 Samuel 7:22,english,FALSE,
2 Thessalonians 1:11-12,english,FALSE,
2 Thessalonians 2:16-17,english,FALSE,
2 Thessalonians 3:10,english,FALSE,
2 Thessalonians 3:3,english,FALSE,
2 Timothy 1:7,english,FALSE,
2 Timothy 1:9,english,FALSE,
2 Timothy 2:1,english,FALSE,
2 Timothy 2:13,english,FALSE,
2 Timothy 2:15,english,FALSE,
2 Timothy 2:22,english,FALSE,
2 Timothy 3:16-17,english,FALSE,
2 Timothy 4:7,english,FALSE,
Deuteronomy 10:12-13,english,FALSE,
Deuteronomy 28:2,english,FALSE,
Deuteronomy 30:19,english,FALSE,
Deuteronomy 31:6,english,FALSE,
Deuteronomy 31:8,english,FALSE,
Deuteronomy 33:27,english,FALSE,
Deuteronomy 4:29,english,FALSE,
Deuteronomy 6:4-9,english,FALSE,
Deuteronomy 7:9,english,FALSE,
Deuteronomy 8:3,english,FALSE,
Obadiah 1:4,english,FALSE,
Haggai 1:4,english,FALSE,
Haggai 2:9,english,FALSE,
Amos 3:7,english,FALSE,
Amos 4:13,english,FALSE,
Amos 5:24,english,FALSE,
Daniel 1:8,english,FALSE,
Daniel 10:12,english,FALSE,
Daniel 11:32,english,FALSE,
Daniel 12:3,english,FALSE,
Daniel 2:20-22,english,FALSE,
Daniel 3:17-18,english,FALSE,
Daniel 6:10,english,FALSE,
Daniel 9:9,english,FALSE,
Ephesians 1:17-19,english,FALSE,
Ephesians 1:4-5,english,FALSE,
Ephesians 1:7,english,FALSE,
Ephesians 2:1,english,FALSE,
Ephesians 2:10,english,FALSE,
Ephesians 2:19,english,FALSE,
Ephesians 2:4-5,english,FALSE,
Ephesians 2:8-9,english,FALSE,
Ephesians 3:12,english,FALSE,
Ephesians 3:16-19,english,FALSE,
Ephesians 3:20-21,english,FALSE,
Ephesians 4:1-3,english,FALSE,
Ephesians 4:15,english,FALSE,
Ephesians 4:2,english,FALSE,
Ephesians 4:22-24,english,FALSE,
Ephesians 4:26,english,FALSE,
Ephesians 4:29,english,FALSE,
Ephesians 4:31-32,english,FALSE,
Ephesians 4:32,english,FALSE,
Ephesians 5:1-2,english,FALSE,
Ephesians 5:11,english,FALSE,
Ephesians 5:15-16,english,FALSE,
Ephesians 5:18,english,FALSE,
Ephesians 5:2,english,FALSE,
Ephesians 5:8,english,FALSE,
Ephesians 6:10-18,english,FALSE,
Ephesians 6:12,english,FALSE,
Esther 4:14,english,FALSE,
Ezra 10:4,english,FALSE,
Ezra 7:10,english,FALSE,
Ezekiel 11:19,english,FALSE,
Ezekiel 18:32,english,FALSE,
Ezekiel 22:30,english,FALSE,
Ezekiel 3:17,english,FALSE,
Ezekiel 33:11,english,FALSE,
Ezekiel 36:26,english,FALSE,
Philemon 1:4,english,FALSE,
Philippians 1:21,english,FALSE,
Philippians 1:27,english,FALSE,
Philippians 1:6,english,FALSE,
Philippians 1:9-11,english,FALSE,
Philippians 2:1-2,english,FALSE,
Philippians 2:13,english,FALSE,
Philippians 2:14-15,english,FALSE,
Philippians 2:3-4,english,FALSE,
Philippians 2:5-8,english,FALSE,
Philippians 3:10,english,FALSE,
Philippians 3:13-14,english,FALSE,
Philippians 3:20,english,FALSE,
Philippians 3:7-9,english,FALSE,
Philippians 4:11-13,english,FALSE,
Philippians 4:13,english,FALSE,
Philippians 4:19,english,FALSE,
Philippians 4:4-7,english,FALSE,
Philippians 4:6-7,english,FALSE,
Philippians 4:8,english,FALSE,
Philippians 4:9,english,FALSE,
Philemon 1:6,english,FALSE,
Galatians 1:10,english,FALSE,
Galatians 2:16,english,FALSE,
Galatians 2:20,english,FALSE,
Galatians 3:26-27,english,FALSE,
