content,used,date_used
"The average person walks the equivalent of three times around the Earth in their lifetime.,FALSE,",FALSE,
A blue whale's heart is so large that a human could swim through its arteries,FALSE,
Bees can recognize human faces,FALSE,
"A duck's quack doesn't echo, and no one knows why",FALSE,
Most laugh tracks on TV sitcoms were recorded in the 1950s. Many of the people you hear laughing are now deceased,FALSE,
"Bananas are, botanically speaking, berries, while strawberries are not",FALSE,
"In Switzerland, it is illegal to own just one guinea pig because they are considered social animals and suffer from loneliness",FALSE,
There are more possible arrangements of a chess game than there are atoms in the observable universe,FALSE,
There is enough iron in the human body to make one small nail,FALSE,
Honey never spoils. Archaeologists have found thousands of years old honey in Egyptian tombs that was still edible,FALSE,
Octopuses have three hearts,FALSE,
A dog's nose print is as unique as a human's fingerprint,FALSE,
The Hawaiian alphabet has only 13 letters,FALSE,
It rains diamonds on Jupiter and Saturn,FALSE,
"The country with the most pyramids is not Egypt, but Sudan",FALSE,
France was the last country to use the guillotine. The last execution took place in 1977,FALSE,
The first product to have a barcode was a pack of Wrigley's gum,FALSE,
The nutcracker was invented before the rifle,FALSE,
The world's longest traffic jam lasted for 12 days and was over 100 kilometers long,FALSE,
A snail can sleep for up to three years,FALSE,
"The probability that in any glass of water you drink, there is a molecule of water that once passed through a dinosaur is almost 100%",FALSE,
"In Japan, there are ""crying rooms"" (rui-katsu) where people can go to cry to relieve stress",FALSE,
The highest recorded speed of a raindrop is around 28 km/h,FALSE,
The hummingbird is the only bird that can fly backward,FALSE,
Sea otters hold hands with other otters while sleeping on the water to keep from drifting away,FALSE,
Cleopatra lived closer in time to the invention of the iPhone than to the construction of the Great Pyramid of Giza,FALSE,
A rattlesnake can still bite for several hours after its head has been cut off,FALSE,
"The first oranges weren't orange, but green",FALSE,
Nintendo was founded in 1889 as a playing card company,FALSE,
"The quietest room in the world, an anechoic chamber at Orfield Laboratories in the US, is so quiet that you can hear your own blood circulation",FALSE,
Sweden has such an efficient recycling system that it has to import trash from other countries to keep its recycling plants running,FALSE,
The longest place name in the world has 85 letters and is located in New Zealand,FALSE,
"Your eyeballs remain the same size from birth for your entire life, while your nose and ears never stop growing",FALSE,
"In Scotland, there are more than 400 words for snow",FALSE,
A goldfish kept in the dark will gradually lose its color and turn pale,FALSE,
The average four-year-old asks about 400 questions a day,FALSE,
"The sound of a whip cracking is not caused by the impact, but by its tip breaking the speed of sound",FALSE,
Termites eat wood twice as fast when listening to heavy metal music,FALSE,
A hippopotamus produces a red "sweat" that acts as a sunscreen and skin moisturizer,FALSE,
"In South Korea, there is a service that will send fake guests to your wedding to make it look more popular",FALSE,
The largest snowflake ever recorded was 38 cm in diameter,FALSE,
A person produces enough saliva in their lifetime to fill two swimming pools,FALSE,
A penguin's body has a special gland that filters salt water from its bloodstream,FALSE,
The Mona Lisa has no eyebrows because it was fashionable in Renaissance Florence to shave them off,FALSE,
Squirrels are responsible for planting thousands of trees each year because they forget where they buried their nuts,FALSE,
Lightning strikes the Earth approximately 100 times per second,FALSE,
The voice actor for Mickey Mouse and the voice actress for Minnie Mouse were married in real life,FALSE,
"On Venus, a day lasts longer than a year",FALSE,
An ant can survive a fall from any height,FALSE,
Shrimp have their hearts in their heads,FALSE,
A wombat has cube-shaped feces,FALSE,
Lego is the world's largest tire manufacturer (for its toy sets),FALSE,
"The average cloud weighs around 500 tons, which is the weight of about 80 elephants",FALSE,
"In your lifetime, you will eat approximately 35 tons of food",FALSE,
There are more plastic flamingos in the world than real ones,FALSE,
"In Utah, it is illegal to hunt whales. Utah is a landlocked state",FALSE,
"On the International Space Station (ISS), astronauts drink water recycled from their own sweat and urine",FALSE,
The first webcam was created at the University of Cambridge to monitor the status of a coffee pot,FALSE,
"In Finland, speeding fines are based on the driver's income",FALSE,
Bees can fly higher than Mount Everest,FALSE,
An ostrich egg is so large that it could make about 24 regular omelets,FALSE,
There are more kangaroos in Australia than people,FALSE,
"The oldest piece of chewing gum in the world is 9,000 years old",FALSE,
The average person spends about 6 months of their life waiting at traffic lights,FALSE,
"In some parts of the Atacama Desert in Chile, rain has never been recorded",FALSE,
The first movie with dialogue ("The Jazz Singer") had only 281 spoken words,FALSE,
The elephant is the only mammal that cannot jump,FALSE,
The human nose can distinguish about 1 trillion different scents,FALSE,
A giraffe's tongue is so long (up to 50 cm) that it can clean its own ears with it,FALSE,
"The world's smallest mammal, the bumblebee bat, weighs less than a coin",FALSE,
The flag of the Philippines is flown upside down when the country is at war,FALSE,
"The world's largest desert is not the Sahara, but Antarctica",FALSE,
The smell of freshly cut grass is actually a plant's chemical distress signal,FALSE,
More people die each year from falling coconuts than from shark attacks,FALSE,
The first computer mouse was made of wood,FALSE,
There is a species of jellyfish (Turritopsis dohrnii) that is biologically immortal,FALSE,
The average person forgets 90% of their dreams,FALSE,
"In Japan, square watermelons are sold to make them easier to store in the refrigerator",FALSE,
The longest recorded flight of a chicken was 13 seconds,FALSE,
Water can boil and freeze at the same time under specific conditions of pressure and temperature,FALSE,
Google was originally called "Backrub",FALSE,
"Space smells like seared steak, hot metal, and welding fumes",FALSE,
"Each year, the Moon drifts about 3.8 cm away from the Earth",FALSE,
"A human is born with 300 bones, but has only 206 as an adult",FALSE,
"A chameleon doesn't change color to blend in, but to communicate and regulate its body temperature",FALSE,
There is enough DNA in an adult human body to stretch from the Earth to the Sun and back more than 600 times,FALSE,
The world's longest musical concert is taking place in Germany and is set to last 639 years. It began in 2001,FALSE,
The probability of dying on the way to buy a lottery ticket is higher than the probability of winning the jackpot,FALSE,
Bees must visit about 2 million flowers to produce half a kilogram of honey,FALSE,
"In Italy, there is a fountain that flows with free red wine 24 hours a day",FALSE,
Most of the dust in your home is dead skin cells,FALSE,
"Ants stretch their bodies after waking up, similar to humans",FALSE,
The seahorse is the only animal species where the male gives birth,FALSE,
"The largest living organism in the world is a fungus in Oregon, covering an area of nearly 9 square kilometers",FALSE,
Space is completely silent because sound waves need a medium to travel through,FALSE,
The largest wave ever surfed was as high as a 10-story building,FALSE,
The first alarm clock could only ring at 4 a.m,FALSE,
Foxes use the Earth's magnetic field to hunt prey,FALSE,
Your brain consumes about 20% of your body's total oxygen and calories,FALSE,
The largest number of children born to one woman is 69,FALSE,
Bees have "hairs" on their backs that help them collect pollen,FALSE,
The word "avocado" comes from an Aztec word meaning "testicle",FALSE,
Starfish do not have brains,FALSE,
The average person spends approximately 25 years of their life sleeping,FALSE,
"In 1997, a cat named Morris ran for mayor in a Mexican city and almost won",FALSE,
The Voyager 1 space probe is the most distant man-made object and is still sending signals,FALSE,
There is a species of parrot (Strigops habroptilus) that cannot fly and is nocturnal,FALSE,
Polar bears have black skin under their white fur,FALSE,
Bees communicate by dancing,FALSE,
The oldest known recipe is for beer,FALSE,
The original color of carrots was purple,FALSE,
Penguins give each other pebbles as part of their courtship ritual,FALSE,
"In ancient Rome, urine was used as mouthwash",FALSE,
The strongest muscle in the human body is the masseter (jaw muscle),FALSE,
More than half of the world's population has never seen snow,FALSE,
"The longest war in history was between the Netherlands and the Isles of Scilly, lasting 335 years with no casualties",FALSE,
The Eiffel Tower can be up to 15 cm taller in the summer due to the thermal expansion of iron,FALSE,
Turtles can breathe through their butts,FALSE,
"In Japan, some restaurants serve fugu fish, which is deadly poisonous if not prepared correctly",FALSE,
The first photograph of a person was taken by accident when an unknown man was having his shoes shined and stood still long enough,FALSE,
The average person produces enough heat in a day to boil 1.5 liters of water,FALSE,
"The world's smallest country, Vatican City, could fit inside New York's Central Park",FALSE,
Cats cannot taste sweetness,FALSE,
The owl is the only bird that can see the color blue,FALSE,
"The word ""robot"" comes from the Czech word ""robota"", meaning forced labor",FALSE,
More people in the US are afraid of clowns than of terrorism,FALSE,
You spend an average of 38 days of your life brushing your teeth,FALSE,
A hippo's milk is pink,FALSE,
The world's longest wedding veil was as long as 63 football fields,FALSE,
"The tallest mountain in the solar system, Olympus Mons on Mars, is three times higher than Mount Everest",FALSE,
"In some cultures, people greet each other by sticking out their tongues instead of shaking hands",FALSE,
The average person laughs about 10 times a day,FALSE,
Bees can recognize zero,FALSE,
"In Australia, there is a river that flows inland, not into the sea",FALSE,
"The world's largest cave system, Mammoth Cave in the US, is so extensive that it has not yet been fully explored",FALSE,
Human bones are five times stronger than steel of the same weight,FALSE,
The first novel written on a typewriter was "The Adventures of Tom Sawyer" by Mark Twain,FALSE,
"On average, 12 newborns are given to the wrong parents each day",FALSE,
There are more stars in the universe than there are grains of sand on all the Earth's beaches,FALSE,
"Ants farm—they raise aphids, which they ""milk"" for sweet honeydew",FALSE,
Potato chips were invented when a chef got angry at a customer who complained that his potatoes were too thick,FALSE,
"There are more than 7,500 varieties of apples",FALSE,
"If you shouted for 8 years, 7 months, and 6 days, you would produce enough sound energy to heat one cup of coffee",FALSE,
The first email was sent by Ray Tomlinson in 1971. He himself no longer remembers what was in it,FALSE,
The Apollo 11 spacecraft had only 20 seconds of fuel left when it landed on the Moon,FALSE,
The world's smallest fish is only 7.9 millimeters long,FALSE,
"In China, it is forbidden to be reincarnated without government permission",FALSE,
The longest song to hit the Billboard Hot 100 chart was "American Pie" by Don McLean,FALSE,
Most elephants weigh less than a blue whale's tongue,FALSE,
"There are approximately 100,000 kilometers of blood vessels in the human body",FALSE,
Japanese trains are so punctual that the average delay is only 18 seconds,FALSE,
"The largest known diamond in the universe is a star named Lucy, which is essentially a giant crystallized carbon",FALSE,
There is a species of ant that can explode as a suicide bomber,FALSE,
The oldest known sunglasses were invented by the Inuit to protect against snow blindness,FALSE,
More than 70% of the Earth's oxygen is produced by the oceans,FALSE,
"The world's fastest train, the Shanghai Maglev, reaches speeds of up to 431 km/h",FALSE,
A bee must flap its wings about 200 times per second to fly,FALSE,
The average person spends one year of their life looking for lost things,FALSE,
"The largest egg in the world did not belong to a dinosaur, but to the extinct elephant bird",FALSE,
A koala sleeps up to 22 hours a day,FALSE,
There are more empty houses in the US than there are homeless people,FALSE,
The first video game played in space was Tetris,FALSE,
"In ancient Egypt, cats were so revered that killing a cat was punishable by death",FALSE,
"The world's longest river, the Nile, flows through 11 countries",FALSE,
The Wright brothers' first airplane flew a shorter distance than the wingspan of a modern Boeing 747,FALSE,
"The world's largest flower, Rafflesia arnoldii, smells like rotting meat",FALSE,
Your heart stops for a moment when you sneeze,FALSE,
Bees have five eyes,FALSE,
A newborn baby's body has no bacteria,FALSE,
There are more libraries in the world than McDonald's restaurants,FALSE,
"The highest temperature ever recorded on Earth was 56.7 °C in Death Valley, California",FALSE,
Squirrels adopt abandoned baby squirrels,FALSE,
The longest hiccuping spell lasted for 68 years,FALSE,
"The deepest point in the ocean, the Mariana Trench, is so deep that Mount Everest could fit inside it with room to spare",FALSE,
You are twice as likely to be killed by a vending machine as by a shark attack,FALSE,
The average person blinks about 415 million times in their life,FALSE,
The largest pizza in the world had a diameter of almost 40 meters,FALSE,
Bees can smell bombs,FALSE,
