object_id,title,artist,year,image_url,owner,medium,dimensions,classification,creditLine,objectURL,artistULAN_URL,tags,used,date_used
435575,"Jérôme Bonaparte (1784–1860), King of Westphalia",Giacomo Andreoli,1813,https://images.metmuseum.org/CRDImages/ep/web-large/127596.jpg,"The Metropolitan Museum of Art, New York",Ivory,2 3/8 x 1 7/8 in. (60 x 48 mm),Miniatures,"Gift of Helen O. Brice, 1942",https://www.metmuseum.org/art/collection/search/435575,(not assigned),Kings; Men; Portraits,FALSE,
435590,Family Group in a Landscape,Jacques d'Arthois,1650,https://images.metmuseum.org/CRDImages/ep/web-large/DP-17626-001.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,49 1/8 x 60 1/8 in. (124.8 x 152.7 cm),Paintings,"Theodore M. Davis Collection, Bequest of Theodore M. Davis, 1915",https://www.metmuseum.org/art/collection/search/435590,http://vocab.getty.edu/page/ulan/500023214,Birds; Boys; Girls; Men; Women; Dogs; Landscapes; Family,FALSE,
435595,Madonna and Child,Bachiacca (Francesco d'Ubertino Verdi),1523,https://images.metmuseum.org/CRDImages/ep/web-large/DT8844.jpg,"The Metropolitan Museum of Art, New York",Oil and gold on wood,34 1/4 x 26 1/2 in. (87 x 67.3 cm),Paintings,"The Jack and Belle Linsky Collection, 1982",https://www.metmuseum.org/art/collection/search/435595,http://vocab.getty.edu/page/ulan/500021332,Madonna and Child,FALSE,
435601,Madonna and Child,Ercole Banci,1529,https://images.metmuseum.org/CRDImages/ep/web-large/ep32.100.94.bw.R.jpg,"The Metropolitan Museum of Art, New York",Tempera on wood,15 1/4 x 12 3/8 in. (38.7 x 31.4 cm),Paintings,"The Friedsam Collection, Bequest of Michael Friedsam, 1931",https://www.metmuseum.org/art/collection/search/435601,http://vocab.getty.edu/page/ulan/500092915,Madonna and Child,FALSE,
435608,Portrait of a Man,Barrois,1795,https://images.metmuseum.org/CRDImages/ep/web-large/37132.jpg,"The Metropolitan Museum of Art, New York",Ivory,Diameter 2 3/4 in. (67 mm),Miniatures,"Bequest of Ella Church Strobell, 1917",https://www.metmuseum.org/art/collection/search/435608,(not assigned),Men; Portraits,FALSE,
435609,Portrait of a Man,John Barry,1795,https://images.metmuseum.org/CRDImages/ep/web-large/80546.jpg,"The Metropolitan Museum of Art, New York",Ivory,"Oval, 2 1/2 x 2 1/8 in. (64 x 54 mm)",Miniatures,"Gift of Mrs. Sherwood Eddy, 1930",https://www.metmuseum.org/art/collection/search/435609,http://vocab.getty.edu/page/ulan/500011190,Men; Portraits,FALSE,
435615,Portrait of a Man,Fra Bartolomeo (Bartolomeo di Paolo del Fattorino),1517,https://images.metmuseum.org/CRDImages/ep/web-large/DT8842.jpg,"The Metropolitan Museum of Art, New York",Oil on wood,Overall 15 5/8 x 12 1/8 in. (39.7 x 30.8 cm); painted surface 15 1/2 x 11 3/4 in. (39.4 x 29.8 cm),Paintings,"The Jack and Belle Linsky Collection, 1982",https://www.metmuseum.org/art/collection/search/435615,http://vocab.getty.edu/page/ulan/500115575,Men; Portraits,FALSE,
435619,The Betrayal of Christ,Bartolomeo di Tommaso,1450,https://images.metmuseum.org/CRDImages/ep/web-large/DT200598.jpg,"The Metropolitan Museum of Art, New York",Tempera on wood,Overall 8 3/4 x 17 in. (22.2 x 43.2 cm); irregular painted surface 7 3/4 x 16 1/8 in. (19.7 x 41 cm),Paintings,"Gwynne Andrews Fund, 1958",https://www.metmuseum.org/art/collection/search/435619,http://vocab.getty.edu/page/ulan/500010103,Apostles; Christ,FALSE,
435632,Portrait of a Woman,Sir William Beechey,1810,https://images.metmuseum.org/CRDImages/ep/web-large/DP162139.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,50 x 40 1/4 in. (127 x 102.2 cm),Paintings,"Gift of George A. Hearn, 1905",https://www.metmuseum.org/art/collection/search/435632,http://vocab.getty.edu/page/ulan/500014785,Portraits; Women,FALSE,
435638,The Cellier Altarpiece,Jean Bellegambe,1512,https://images.metmuseum.org/CRDImages/ep/web-large/DT11782.jpg,"The Metropolitan Museum of Art, New York",Oil on wood,Shaped top: central panel 40 x 24 in. (101.6 x 61 cm); left wing 37 3/4 x 10 in. (95.9 x 25.4 cm); right wing 37 1/2 x 9 1/2 in. (95.3 x 24.1 cm),Paintings,"The Friedsam Collection, Bequest of Michael Friedsam, 1931",https://www.metmuseum.org/art/collection/search/435638,http://vocab.getty.edu/page/ulan/500023570,Men; Women; Angels; Bishops; Madonna and Child; Monks; Saints,FALSE,
