greeting_foreign,language_origin,translation_en,used,date_used
Carpe diem!,Latin,Seize the day!,FALSE,
Ad astra.,Latin,To the stars.,FALSE,
Luceat lux vestra.,Latin,Let your light shine.,FALSE,
"Dum spiro, spero.",Latin,"While I breathe, I hope.",FALSE,
Age quod agis.,Latin,Do what you are doing (well).,FALSE,
Incipe.,Latin,Begin.,FALSE,
Fac vitam incredibilem.,Latin,Make life incredible.,FALSE,
Sedit qui timuit ne non succederet.,Latin,He who feared that he would not succeed sat still.,FALSE,
Perfer et obdura.,Latin,Endure and be strong.,FALSE,
Posside sapientiam.,Latin,Possess wisdom.,FALSE,
Buona giornata!,Italian,Have a nice day!,FALSE,
In bocca al lupo!,Italian,Break a leg!,FALSE,
Forza e coraggio.,Italian,Strength and courage.,FALSE,
Goditi la giornata.,Italian,Enjoy the day.,FALSE,
Sii felice.,Italian,Be happy.,FALSE,
Credi in te stesso.,Italian,Believe in yourself.,FALSE,
Andrà tutto bene.,Italian,Everything will be alright.,FALSE,
Ogni giorno è un nuovo inizio.,Italian,Every day is a new beginning.,FALSE,
Ce la puoi fare.,Italian,You can do it.,FALSE,
Splendi!,Italian,Shine!,FALSE,
¡Que tengas un buen día!,Spanish,Have a nice day!,FALSE,
¡A por el día!,Spanish,Let's seize the day!,FALSE,
¡Adelante!,Spanish,Forward!,FALSE,
Con energía.,Spanish,With energy.,FALSE,
Paso a paso.,Spanish,Step by step.,FALSE,
Cree en ti.,Spanish,Believe in yourself.,FALSE,
Tú puedes.,Spanish,You can do it.,FALSE,
Disfruta el momento.,Spanish,Enjoy the moment.,FALSE,
Hoy es tu día.,Spanish,Today is your day.,FALSE,
Con alegría.,Spanish,With joy.,FALSE,
Bonne journée !,French,Have a nice day!,FALSE,
Bon courage !,French,Good luck! / Stay strong!,FALSE,
Profite de ta journée.,French,Enjoy your day.,FALSE,
Fonce !,French,Go for it!,FALSE,
Crois en toi.,French,Believe in yourself.,FALSE,
Tout est possible.,French,Everything is possible.,FALSE,
Avec le sourire.,French,With a smile.,FALSE,
Passe une excellente journée.,French,Have an excellent day.,FALSE,
Reste positif.,French,Stay positive.,FALSE,
