nbr,name,link,used,date_used
SG 008,Ab in den Biergarten,https://slowgerman.com/2007/06/19/slow-german-008-ab-in-den-biergarten/,FALSE,
SG 009,Bus und Bahn,https://slowgerman.com/2007/07/02/slow-german-009-bus-und-bahn/,FALSE,
SG 010,Die Litfaßsäule,https://slowgerman.com/2007/07/11/slow-german-010-die-litfassaule/,FALSE,
SG 011,Denglisch,https://slowgerman.com/2007/07/26/slow-german-011-denglisch/,FALSE,
SG 012,Recycling,https://slowgerman.com/2007/08/14/slow-german-012-recycling/,FALSE,
SG 013,Stumme Verkäufer,https://slowgerman.com/2007/09/13/slow-german-013-stumme-verkaufer/,FALSE,
SG 014,Das Oktoberfest,https://slowgerman.com/2007/09/21/slow-german-014-das-oktoberfest/,FALSE,
SG 015,Allerheiligen,https://slowgerman.com/2007/10/31/slow-german-015-allerheiligen/,FALSE,
SG 016,Getränke,https://slowgerman.com/2007/11/09/slow-german-016-getranke/,FALSE,
SG 017,Vereine,https://slowgerman.com/2007/11/17/slow-german-017-vereine/,FALSE,
SG 018,Advent,https://slowgerman.com/2007/12/03/slow-german-018-advent/,FALSE,
SG 019,Sternsinger,https://slowgerman.com/2008/01/10/slow-german-019-sternsinger/,FALSE,
SG 020,Lotto,https://slowgerman.com/2008/01/20/slow-german-020-lotto/,FALSE,
SG 021,Aschermittwoch,https://slowgerman.com/2008/02/06/slow-german-021-aschermittwoch/,FALSE,
SG 022,Umzug,https://slowgerman.com/2008/02/28/slow-german-022-umzug/,FALSE,
SG 023,Rauchverbot,https://slowgerman.com/2008/03/10/slow-german-023-rauchverbot/,FALSE,
SG 024,Deutsche Musik,https://slowgerman.com/2008/04/16/slow-german-024-deutsche-musik/,FALSE,
SG 025,Das Schulsystem,https://slowgerman.com/2008/04/29/slow-german-025-das-schulsystem/,FALSE,
SG 026,Haustiere,https://slowgerman.com/2008/05/09/slow-german-026-haustiere/,FALSE,
SG 027,Deutscher Alltag,https://slowgerman.com/2008/05/21/slow-german-027-deutscher-alltag/,FALSE,
SG 028,Kleidung,https://slowgerman.com/2008/06/16/slow-german-028-kleidung/,FALSE,
SG 029,Das Leben der Anderen,https://slowgerman.com/2008/06/26/029-das-leben-der-anderen/,FALSE,
SG 030,Hochzeit,https://slowgerman.com/2008/07/07/030-hochzeit/,FALSE,
SG 031,Das politische System,https://slowgerman.com/2008/07/16/031-das-politische-system-deutschlands/,FALSE,
SG 032,Wohnungen mieten,https://slowgerman.com/2008/07/26/032-wohnungen-mieten/,FALSE,
SG 033,Die Autobahn,https://slowgerman.com/2008/08/07/slow-german-032-die-autobahn/,FALSE,
SG 034,Das R,https://slowgerman.com/2008/09/11/slow-german-034-das-r/,FALSE,
SG 035,Religion,https://slowgerman.com/2008/09/21/slow-german-035-religion/,FALSE,
SG 036,Kinderlieder,https://slowgerman.com/2008/10/02/slow-german-036-kinderlieder/,FALSE,
SG 037,Zeitungen,https://slowgerman.com/2008/11/24/zeitungen/,FALSE,
SG 038,Einkaufen,https://slowgerman.com/2008/12/01/einkaufen/,FALSE,
SG 039,Urlaub,https://slowgerman.com/2008/12/08/slow-german-039-urlaub/,FALSE,
SG 040,Beruf und Karriere,https://slowgerman.com/2008/12/15/slow-german-040-beruf-und-karriere/,FALSE,
SG 041,Weihnachten,https://slowgerman.com/2008/12/22/slow-german-041-weihnachten/,FALSE,
SG 043,Stauffenberg,https://slowgerman.com/2009/01/29/stauffenberg/,FALSE,
SG 044,Essen,https://slowgerman.com/2009/02/05/slow-german-044-essen/,FALSE,
SG 045,Deutsche Literatur,https://slowgerman.com/2009/02/12/slow-german-045-deutsche-literatur/,FALSE,
SG 046,Deutsche Kunst,https://slowgerman.com/2009/02/19/slow-german-046-deutsche-kunst/,FALSE,
SG 047,Unregelmäßige Verben,https://slowgerman.com/2009/02/26/slow-german-047-unregelmaessige-verben/,FALSE,
SG 048,Die Bundeswehr,https://slowgerman.com/2009/03/13/slow-german-048-die-bundeswehr/,FALSE,
SG 049,Radfahren,https://slowgerman.com/2009/04/08/slow-german-049-radfahren/,FALSE,
SG 050,Gesundheitssystem,https://slowgerman.com/2009/04/17/slow-german-050-gesundheitssystem/,FALSE,
