content,used,date_used
"While drinking your morning beverage, focus only on its taste and aroma, without any other distractions.",FALSE,
Take a 5-minute break and just look out the window.,FALSE,
Take the stairs today instead of using the elevator or escalator.,FALSE,
"Write down three things you want to accomplish today, no matter how small.",FALSE,
Drink a glass of plain water right now.,FALSE,
Give a sincere compliment to the first person you talk to today.,FALSE,
Tidy up your computer's desktop.,FALSE,
"During one conversation, try to just listen without formulating a reply in your mind.",FALSE,
Stretch your back and neck for 60 seconds.,FALSE,
Smile at the first stranger you meet today.,FALSE,
Put your phone away at least 30 minutes before going to sleep.,FALSE,
Read one page from a book that is unrelated to your work.,FALSE,
Send a short message to a friend or family member you haven't spoken to in a long time.,FALSE,
While walking,FALSE,
Put your phone away during a meal and just focus on the taste of the food.,FALSE,
Organize one shelf or drawer that you keep putting off.,FALSE,
Go to bed 15 minutes earlier than usual today.,FALSE,
Find and listen to one song you haven't heard in at least 5 years.,FALSE,
Write down one sentence by hand that summarizes how you feel today.,FALSE,
Consciously identify three sounds you can hear in your surroundings right now.,FALSE,
Instead of a sugary drink,FALSE,
Hold the door open for someone.,FALSE,
Take one photo of something ordinary from an unusual angle.,FALSE,
Learn one new word in a foreign language.,FALSE,
"If you work at a desk, stand up and walk around for a minute every hour.",FALSE,
Thank someone for a small thing they did for you.,FALSE,
Throw away one thing you no longer need.,FALSE,
Go for a 10-minute walk without headphones.,FALSE,
Change the wallpaper on your phone or computer to something that calms you.,FALSE,
Don't open social media for the first hour after waking up.,FALSE,
Try doing a routine task (like brushing your teeth) with your non-dominant hand.,FALSE,
Call someone instead of texting them.,FALSE,
Find five different shades of one color in your immediate vicinity.,FALSE,
Clean your phone screen or computer monitor.,FALSE,
Listen to a short educational podcast or video.,FALSE,
Eat one extra piece of fruit or vegetable.,FALSE,
Say "please" and "thank you" at every possible opportunity.,FALSE,
"When watching a movie or series, put your phone out of reach.",FALSE,
Draw a simple doodle or geometric shape in a notebook.,FALSE,
"Sit in silence for 5 minutes, without any music or sounds.",FALSE,
Take a different route to work or the store than you usually do.,FALSE,
Unsubscribe from one email newsletter you don't read.,FALSE,
Do 10 squats before lunch.,FALSE,
Leave a positive comment on a video or article you enjoyed.,FALSE,
Prepare your clothes for tomorrow today.,FALSE,
Consciously notice the shape of the clouds in the sky.,FALSE,
"When you feel the urge to complain, try to find one positive thing instead.",FALSE,
Moisturize your lips with balm or cream your hands.,FALSE,
Dedicate 15 minutes to the task you've been procrastinating on the most.,FALSE,
Ask a colleague or classmate about their weekend and actively listen.,FALSE,
Listen to one entire song with your eyes closed.,FALSE,
Change the typical position you sit in.,FALSE,
Try to eat a little slower than usual.,FALSE,
Write a grocery list instead of trying to remember it.,FALSE,
Look at an old object and remember where you got it from.,FALSE,
Wash one cup or plate immediately after using it.,FALSE,
Try turning off all notifications on your phone for one hour.,FALSE,
Smile at yourself in the mirror during your evening routine.,FALSE,
Try to name three things you are grateful for just before falling asleep.,FALSE,
Open a window and take a deep breath of fresh air for a minute.,FALSE,
"If you're working at a desk, check if you are sitting up straight.",FALSE,
Browse through a cookbook or online recipes and find something you'd like to try.,FALSE,
Look up the meaning of your name.,FALSE,
"Stop and smell a flower, a tree, or freshly cut grass.",FALSE,
"If you have a pet, give it 5 minutes of your undivided attention.",FALSE,
Organize the icons on your phone's home screen.,FALSE,
Read a short poem.,FALSE,
Try to remember your dream from last night.,FALSE,
"If you drink coffee, try having it without sugar today.",FALSE,
Send a funny picture or meme to someone who could use a laugh.,FALSE,
"Before you buy something, ask yourself: ""Do I really need this?""",FALSE,
Wake up 5 minutes earlier and enjoy the silence.,FALSE,
Write down one thing you accomplished today.,FALSE,
Try for a moment to imagine how the person you are communicating with feels.,FALSE,
Clean your glasses or the camera lens on your phone.,FALSE,
"While walking, focus on keeping your shoulders relaxed.",FALSE,
